Order_ID,Date,Item_Name,Category,Weight_kg,Volumetric_Weight_kg,L_cm,W_cm,H_cm,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg,Product_Volume_m3,Material_Name,Material_Density,Cost_per_kg,Material_CO2_Factor
2559,2025-03-30,T-Shirt,Clothing,0.24,0.11,27,21,1.0,1,False,Air,2923,Kraft Paper Mailer,0.3,1.754,0.000567,Single-Ply Kraft Paper,742,0.91,0.742
2560,2025-02-08,Smart Watch,Electronics,0.12,0.0,5,5,1.7302913453299058,5,True,Air,1499,Honeycomb Paper,1.05,0.45,4.325728363324764e-05,Single-Ply Kraft Paper,742,0.91,0.742
2561,2025-12-16,Smart Watch,Electronics,0.16,0.0,4,5,1.7302913453299058,4,True,Air,2067,Corrugated Cardboard,0.86,0.827,3.460582690659812e-05,Industrial-Grade Corrugated Cardboard,688,0.92,1.031
2562,2025-10-04,55-Inch TV,Electronics,22.2,6.76,130,65,4.0,10,True,Road,456,Mushroom Pkg (Mycelium),10.88,5.062,0.0338,Food-Grade Mushroom Mycelium,146,5.1,0.486
2563,2025-09-21,Laptop,Electronics,2.24,0.11,27,21,1.0,8,True,Road,789,Mushroom Pkg (Mycelium),2.5,0.884,0.000567,Food-Grade Mushroom Mycelium,146,5.1,0.486
2564,2025-11-26,Laptop,Electronics,1.61,0.22,29,19,2.0,8,True,Road,132,Mushroom Pkg (Mycelium),2.24,0.106,0.001102,Food-Grade Mushroom Mycelium,146,5.1,0.486
2565,2025-01-20,Smartphone,Electronics,0.3,0.02,13,6,1.0,6,True,Air,1228,Honeycomb Paper,1.32,0.921,7.8e-05,Single-Ply Kraft Paper,742,0.91,0.742
2566,2025-01-05,Ceramic Vase,Home Decor,1.77,1.05,13,13,31.0,9,False,Road,554,Mushroom Pkg (Mycelium),2.51,0.49,0.005239,Food-Grade Mushroom Mycelium,146,5.1,0.486
2567,2025-12-23,Smart Watch,Electronics,0.17,0.01,5,5,1.0,4,True,Air,2787,Corrugated Cardboard,0.87,1.184,2.5e-05,Industrial-Grade Corrugated Cardboard,688,0.92,1.031
2568,2025-01-19,Perfume Bottle,Beauty,0.49,0.05,10,5,5.0,9,True,Air,2346,Mushroom Pkg (Mycelium),2.0,2.874,0.00025,Food-Grade Mushroom Mycelium,146,5.1,0.486
2569,2025-07-09,Ceramic Vase,Home Decor,1.87,1.39,14,16,31.0,9,False,Air,1758,Mushroom Pkg (Mycelium),2.55,8.219,0.006944,Food-Grade Mushroom Mycelium,146,5.1,0.486
2570,2025-11-20,55-Inch TV,Electronics,16.78,8.75,125,70,5.0,10,True,Road,1077,Mushroom Pkg (Mycelium),8.71,9.036,0.04375,Food-Grade Mushroom Mycelium,146,5.1,0.486
2571,2025-07-06,Sneakers,Clothing,1.15,1.31,28,18,13.0,4,False,Air,1132,Kraft Paper Mailer,1.32,3.707,0.006552,Single-Ply Kraft Paper,742,0.91,0.742
2572,2025-01-12,Winter Jacket,Clothing,1.23,4.08,51,40,10.0,3,True,Air,2056,Kraft Paper Mailer,2.23,20.971,0.0204,Single-Ply Kraft Paper,742,0.91,0.742
2573,2025-05-23,Sneakers,Clothing,0.96,1.21,28,18,12.0,4,False,Air,1078,Kraft Paper Mailer,1.28,3.261,0.006048,Single-Ply Kraft Paper,742,0.91,0.742
2574,2025-10-22,Smartphone,Electronics,0.3,0.02,15,6,1.0,8,True,Road,698,Mushroom Pkg (Mycelium),1.72,0.105,9e-05,Food-Grade Mushroom Mycelium,146,5.1,0.486
2575,2025-08-29,Winter Jacket,Clothing,1.08,4.02,49,41,10.0,2,True,Air,1915,Kraft Paper Mailer,2.01,19.246,0.02009,Single-Ply Kraft Paper,742,0.91,0.742
2576,2025-07-29,T-Shirt,Clothing,0.17,0.09,24,18,1.0,1,False,Road,478,Kraft Paper Mailer,0.27,0.041,0.000432,Single-Ply Kraft Paper,742,0.91,0.742
2577,2025-04-24,Sofa (Sectional),Furniture,41.7,239.04,180,83,80.0,8,False,Road,1437,Wood Crate,97.22,171.75,1.1952,Lightweight Plywood,515,2.23,0.535
2578,2026-01-01,Smart Watch,Electronics,0.1,0.0,4,4,1.0,6,True,Air,805,Honeycomb Paper,1.24,0.201,1.6e-05,Single-Ply Kraft Paper,742,0.91,0.742
2579,2025-03-13,Laptop,Electronics,1.99,0.1,27,19,1.0,9,True,Air,1456,Mushroom Pkg (Mycelium),2.6,7.244,0.000513,Food-Grade Mushroom Mycelium,146,5.1,0.486
2580,2025-04-17,Ceramic Vase,Home Decor,2.15,1.06,13,14,29.0,9,False,Air,2371,Mushroom Pkg (Mycelium),2.66,12.744,0.005278,Food-Grade Mushroom Mycelium,146,5.1,0.486
2581,2025-05-26,Laptop,Electronics,2.47,0.11,30,19,1.0,8,True,Air,2368,Mushroom Pkg (Mycelium),2.59,14.622,0.00057,Food-Grade Mushroom Mycelium,146,5.1,0.486
2582,2025-07-07,Sneakers,Clothing,0.97,1.36,27,21,12.0,3,False,Air,1439,Kraft Paper Mailer,1.14,4.893,0.006804,Single-Ply Kraft Paper,742,0.91,0.742
2583,2025-07-27,Office Chair,Furniture,11.08,39.43,62,60,53.0,4,False,Road,2819,Wood Crate,16.57,55.577,0.19716,Lightweight Plywood,515,2.23,0.535
2584,2025-09-20,Smartphone,Electronics,0.28,0.0,13,6,1.7302913453299058,8,True,Air,1404,Mushroom Pkg (Mycelium),1.71,0.983,0.00013496272493573267,Food-Grade Mushroom Mycelium,146,5.1,0.486
2585,2025-01-19,Sneakers,Clothing,1.14,1.18,31,19,10.0,3,False,Road,590,Kraft Paper Mailer,1.07,0.348,0.00589,Single-Ply Kraft Paper,742,0.91,0.742
2586,2025-07-11,Laptop,Electronics,2.27,0.21,28,19,2.0,7,True,Air,2599,Honeycomb Paper,2.31,14.749,0.001064,Single-Ply Kraft Paper,742,0.91,0.742
2587,2025-09-28,Glass Table,Furniture,13.87,6.08,98,62,5.0,9,False,Road,1814,Mushroom Pkg (Mycelium),7.35,12.58,0.03038,Food-Grade Mushroom Mycelium,146,5.1,0.486
2588,2025-08-29,T-Shirt,Clothing,0.22,0.21,25,21,2.0,2,False,Air,975,Kraft Paper Mailer,0.49,0.536,0.00105,Single-Ply Kraft Paper,742,0.91,0.742
2589,2025-04-14,T-Shirt,Clothing,0.27,0.1,23,21,1.0,1,False,Air,1088,Kraft Paper Mailer,0.31,0.734,0.000483,Single-Ply Kraft Paper,742,0.91,0.742
2590,2025-09-14,Sneakers,Clothing,1.05,1.32,29,19,12.0,4,False,Road,501,Kraft Paper Mailer,1.33,0.331,0.006612,Single-Ply Kraft Paper,742,0.91,0.742
2591,2025-08-18,55-Inch TV,Electronics,17.44,7.3,120,76,4.0,9,True,Road,2943,Mushroom Pkg (Mycelium),8.78,25.663,0.03648,Food-Grade Mushroom Mycelium,146,5.1,0.486
2592,2025-12-02,Sofa (Sectional),Furniture,43.28,288.0,184,91,86.0,5,False,Road,875,Wood Crate,116.2,126.0,1.439984,Lightweight Plywood,515,2.23,0.535
2593,2025-07-29,Winter Jacket,Clothing,1.65,3.78,45,42,10.0,3,True,Road,279,Kraft Paper Mailer,2.11,0.527,0.0189,Single-Ply Kraft Paper,742,0.91,0.742
2594,2025-03-28,Shampoo,Beauty,0.84,0.24,21,8,7.0,3,True,Air,1209,PLA Bioplastic,0.94,2.539,0.001176,Lightweight PET Plastic,1082,0.97,1.941
2595,2025-12-18,Smart Watch,Electronics,0.19,0.0,5,5,1.7302913453299058,5,True,Air,2206,Honeycomb Paper,1.08,1.048,4.325728363324764e-05,Single-Ply Kraft Paper,742,0.91,0.742
2596,2025-10-03,Perfume Bottle,Beauty,0.29,0.03,10,4,4.0,8,True,Road,255,Mushroom Pkg (Mycelium),1.72,0.037,0.00016,Food-Grade Mushroom Mycelium,146,5.1,0.486
2597,2025-12-14,Ceramic Vase,Home Decor,2.48,1.22,15,14,29.0,10,False,Air,2714,Mushroom Pkg (Mycelium),2.99,16.827,0.00609,Food-Grade Mushroom Mycelium,146,5.1,0.486
2598,2025-12-03,Smartphone,Electronics,0.3,0.0,13,7,1.7302913453299058,7,True,Air,1869,Honeycomb Paper,1.52,1.402,0.00015745651242502143,Single-Ply Kraft Paper,742,0.91,0.742
2599,2025-08-09,T-Shirt,Clothing,0.17,0.1,25,19,1.0,2,False,Air,2756,Kraft Paper Mailer,0.47,1.171,0.000475,Single-Ply Kraft Paper,742,0.91,0.742
2600,2025-09-04,Shampoo,Beauty,0.94,0.22,20,8,7.0,4,True,Air,2160,PLA Bioplastic,1.18,5.076,0.00112,Lightweight PET Plastic,1082,0.97,1.941
2601,2025-05-03,Laptop,Electronics,2.34,0.25,31,20,2.0,7,True,Road,241,Honeycomb Paper,2.34,0.282,0.00124,Single-Ply Kraft Paper,742,0.91,0.742
2602,2025-04-05,Glass Table,Furniture,14.93,6.15,106,58,5.0,10,False,Road,1906,Mushroom Pkg (Mycelium),7.97,14.228,0.03074,Food-Grade Mushroom Mycelium,146,5.1,0.486
2603,2025-06-09,Sneakers,Clothing,1.01,1.32,30,20,11.0,3,False,Air,2889,Kraft Paper Mailer,1.13,9.534,0.0066,Single-Ply Kraft Paper,742,0.91,0.742
2604,2025-05-15,Sofa (Sectional),Furniture,51.5,296.19,208,89,80.0,7,False,Road,2937,Wood Crate,119.88,434.955,1.48096,Lightweight Plywood,515,2.23,0.535
2605,2025-01-10,Winter Jacket,Clothing,1.31,3.39,46,41,9.0,2,True,Air,1538,Kraft Paper Mailer,1.76,13.035,0.016974,Single-Ply Kraft Paper,742,0.91,0.742
2606,2025-06-19,Winter Jacket,Clothing,1.23,4.13,48,43,10.0,2,True,Air,2247,Kraft Paper Mailer,2.05,23.2,0.02064,Single-Ply Kraft Paper,742,0.91,0.742
2607,2025-09-03,55-Inch TV,Electronics,16.84,5.64,112,63,4.0,9,True,Road,2811,Mushroom Pkg (Mycelium),8.54,23.669,0.028224,Food-Grade Mushroom Mycelium,146,5.1,0.486
2608,2025-09-06,Smartphone,Electronics,0.3,0.02,13,6,1.0,7,True,Air,1033,Honeycomb Paper,1.52,0.775,7.8e-05,Single-Ply Kraft Paper,742,0.91,0.742
2609,2025-01-29,Smart Watch,Electronics,0.14,0.0,4,5,1.7302913453299058,5,True,Air,876,Honeycomb Paper,1.06,0.307,3.460582690659812e-05,Single-Ply Kraft Paper,742,0.91,0.742
2610,2025-02-25,Glass Table,Furniture,14.88,5.22,90,58,5.0,9,False,Road,589,Mushroom Pkg (Mycelium),7.75,4.382,0.0261,Food-Grade Mushroom Mycelium,146,5.1,0.486
2611,2025-12-23,Sneakers,Clothing,1.08,1.36,27,21,12.0,3,False,Air,1750,Kraft Paper Mailer,1.14,5.95,0.006804,Single-Ply Kraft Paper,742,0.91,0.742
2612,2025-07-27,Laptop,Electronics,2.21,0.13,30,21,1.0,8,True,Air,874,Mushroom Pkg (Mycelium),2.48,4.829,0.00063,Food-Grade Mushroom Mycelium,146,5.1,0.486
2613,2025-09-23,Glass Table,Furniture,12.77,5.74,99,58,5.0,10,False,Road,924,Mushroom Pkg (Mycelium),7.11,5.9,0.02871,Food-Grade Mushroom Mycelium,146,5.1,0.486
2614,2025-05-31,Winter Jacket,Clothing,1.97,3.26,49,37,9.0,2,True,Air,1444,Cornstarch Foam,1.7,11.769,0.016317,Double-Wall Cornstarch Foam,61,3.25,1.708
2615,2025-12-30,Sneakers,Clothing,0.91,1.61,32,21,12.0,3,False,Road,685,Kraft Paper Mailer,1.24,0.551,0.008064,Single-Ply Kraft Paper,742,0.91,0.742
2616,2025-05-31,Shampoo,Beauty,0.82,0.24,21,8,7.0,5,True,Air,2295,PLA Bioplastic,1.33,4.705,0.001176,Lightweight PET Plastic,1082,0.97,1.941
2617,2025-07-05,Sofa (Sectional),Furniture,75.45,263.97,182,98,74.0,6,False,Road,170,Wood Crate,106.79,22.437,1.319864,Lightweight Plywood,515,2.23,0.535
2618,2025-03-08,Winter Jacket,Clothing,1.84,4.18,54,43,9.0,2,True,Road,566,Kraft Paper Mailer,2.07,1.183,0.020898,Single-Ply Kraft Paper,742,0.91,0.742
2619,2025-02-28,Laptop,Electronics,1.61,0.21,28,19,2.0,9,True,Air,1761,Mushroom Pkg (Mycelium),2.44,7.088,0.001064,Food-Grade Mushroom Mycelium,146,5.1,0.486
2620,2025-02-25,T-Shirt,Clothing,0.23,0.18,22,20,2.0,1,False,Air,1924,Kraft Paper Mailer,0.29,1.106,0.00088,Single-Ply Kraft Paper,742,0.91,0.742
2621,2025-06-17,T-Shirt,Clothing,0.26,0.11,26,21,1.0,1,False,Air,1644,Kraft Paper Mailer,0.3,1.069,0.000546,Single-Ply Kraft Paper,742,0.91,0.742
2622,2025-04-26,Office Chair,Furniture,13.37,33.04,59,56,50.0,6,False,Road,2888,Wood Crate,14.42,47.71,0.1652,Lightweight Plywood,515,2.23,0.535
2623,2025-08-29,Sneakers,Clothing,0.83,1.34,31,18,12.0,3,False,Air,2791,Kraft Paper Mailer,1.14,9.35,0.006696,Single-Ply Kraft Paper,742,0.91,0.742
2624,2025-01-14,Shampoo,Beauty,0.8,0.19,19,7,7.0,5,True,Air,1664,PLA Bioplastic,1.32,3.328,0.000931,Lightweight PET Plastic,1082,0.97,1.941
2625,2025-01-18,Glass Table,Furniture,17.07,5.21,105,62,4.0,9,False,Road,333,Mushroom Pkg (Mycelium),8.63,2.842,0.02604,Food-Grade Mushroom Mycelium,146,5.1,0.486
2626,2025-03-05,Laptop,Electronics,2.25,0.23,27,21,2.0,8,True,Air,2413,Mushroom Pkg (Mycelium),2.5,13.573,0.001134,Food-Grade Mushroom Mycelium,146,5.1,0.486
2627,2025-11-03,Glass Table,Furniture,15.68,4.56,92,62,4.0,9,False,Road,1578,Mushroom Pkg (Mycelium),8.07,12.372,0.022816,Food-Grade Mushroom Mycelium,146,5.1,0.486
2628,2025-05-28,Winter Jacket,Clothing,1.93,3.06,46,37,9.0,2,True,Air,2972,Kraft Paper Mailer,1.62,22.736,0.015318,Single-Ply Kraft Paper,742,0.91,0.742
2629,2025-08-14,Shampoo,Beauty,1.0,0.2,18,7,8.0,5,True,Air,2217,PLA Bioplastic,1.4,5.543,0.001008,Lightweight PET Plastic,1082,0.97,1.941
2630,2025-12-13,55-Inch TV,Electronics,17.03,5.7,113,63,4.0,9,True,Road,2110,Mushroom Pkg (Mycelium),8.61,17.967,0.028476,Food-Grade Mushroom Mycelium,146,5.1,0.486
2631,2025-12-05,Glass Table,Furniture,19.25,5.32,109,61,4.0,9,False,Road,1237,Mushroom Pkg (Mycelium),9.5,11.906,0.026596,Food-Grade Mushroom Mycelium,146,5.1,0.486
2632,2025-06-28,Shampoo,Beauty,0.99,0.21,19,8,7.0,5,True,Air,1307,PLA Bioplastic,1.4,3.235,0.001064,Lightweight PET Plastic,1082,0.97,1.941
2633,2025-05-29,Glass Table,Furniture,18.02,4.58,97,59,4.0,10,False,Road,2673,Mushroom Pkg (Mycelium),9.21,24.084,0.022892,Food-Grade Mushroom Mycelium,146,5.1,0.486
2634,2025-10-26,Ceramic Vase,Home Decor,1.95,1.22,14,15,29.0,10,False,Road,509,Mushroom Pkg (Mycelium),2.78,0.496,0.00609,Food-Grade Mushroom Mycelium,146,5.1,0.486
2635,2025-10-03,Smartphone,Electronics,0.26,0.0,14,7,1.7302913453299058,8,True,Air,1803,Mushroom Pkg (Mycelium),1.7,1.172,0.00016956855184233077,Food-Grade Mushroom Mycelium,146,5.1,0.486
2636,2025-09-26,55-Inch TV,Electronics,16.87,9.22,123,75,5.0,10,True,Road,2610,Mushroom Pkg (Mycelium),8.75,22.015,0.046125,Food-Grade Mushroom Mycelium,146,5.1,0.486
2637,2025-01-21,Ceramic Vase,Home Decor,1.98,1.06,14,14,27.0,9,False,Road,527,Mushroom Pkg (Mycelium),2.59,0.522,0.005292,Food-Grade Mushroom Mycelium,146,5.1,0.486
2638,2025-11-19,55-Inch TV,Electronics,21.84,6.38,114,70,4.0,10,True,Road,1211,Mushroom Pkg (Mycelium),10.74,13.224,0.03192,Food-Grade Mushroom Mycelium,146,5.1,0.486
2639,2025-02-14,Sneakers,Clothing,1.03,1.19,27,20,11.0,4,False,Air,2119,Kraft Paper Mailer,1.28,6.304,0.00594,Single-Ply Kraft Paper,742,0.91,0.742
2640,2025-12-22,Sofa (Sectional),Furniture,55.92,283.13,208,83,82.0,7,False,Road,321,Wood Crate,114.65,45.442,1.415648,Lightweight Plywood,515,2.23,0.535
2641,2025-09-05,T-Shirt,Clothing,0.27,0.19,25,19,2.0,2,False,Air,1578,Kraft Paper Mailer,0.51,1.065,0.00095,Single-Ply Kraft Paper,742,0.91,0.742
2642,2025-04-07,Smartphone,Electronics,0.36,0.0,14,7,1.7302913453299058,7,True,Air,2134,Honeycomb Paper,1.54,1.921,0.00016956855184233077,Single-Ply Kraft Paper,742,0.91,0.742
2643,2025-03-28,Office Chair,Furniture,11.64,37.88,65,62,47.0,4,False,Road,1734,Wood Crate,15.95,32.842,0.18941,Lightweight Plywood,515,2.23,0.535
2644,2025-03-12,Perfume Bottle,Beauty,0.34,0.04,9,5,4.0,10,True,Air,1094,Mushroom Pkg (Mycelium),2.14,0.93,0.00018,Food-Grade Mushroom Mycelium,146,5.1,0.486
2645,2025-12-10,Laptop,Electronics,1.69,0.12,31,19,1.0,7,True,Air,844,Honeycomb Paper,2.08,3.566,0.000589,Single-Ply Kraft Paper,742,0.91,0.742
2646,2025-07-14,Sofa (Sectional),Furniture,68.66,304.16,213,85,84.0,5,False,Road,2526,Wood Crate,122.66,384.154,1.52082,Lightweight Plywood,515,2.23,0.535
2647,2025-06-26,Laptop,Electronics,2.46,0.22,28,20,2.0,7,True,Air,1478,Honeycomb Paper,2.38,9.09,0.00112,Single-Ply Kraft Paper,742,0.91,0.742
2648,2025-07-10,Sneakers,Clothing,0.86,1.4,30,18,13.0,5,False,Road,320,Kraft Paper Mailer,1.56,0.224,0.00702,Single-Ply Kraft Paper,742,0.91,0.742
2649,2025-06-24,55-Inch TV,Electronics,23.46,6.05,108,70,4.0,10,True,Road,2788,Mushroom Pkg (Mycelium),11.38,32.703,0.03024,Food-Grade Mushroom Mycelium,146,5.1,0.486
2650,2025-02-15,Sofa (Sectional),Furniture,64.96,228.48,186,83,74.0,7,False,Road,1296,Wood Crate,92.79,148.055,1.142412,Lightweight Plywood,515,2.23,0.535
2651,2025-08-16,Ceramic Vase,Home Decor,1.02,1.39,16,15,29.0,10,False,Road,464,Mushroom Pkg (Mycelium),2.56,0.322,0.00696,Food-Grade Mushroom Mycelium,146,5.1,0.486
2652,2025-12-05,Sofa (Sectional),Furniture,67.33,295.19,195,87,87.0,6,False,Road,369,Wood Crate,119.28,54.463,1.475955,Lightweight Plywood,515,2.23,0.535
2653,2025-09-12,Smartphone,Electronics,0.21,0.0,15,6,1.7302913453299058,9,True,Air,1934,Mushroom Pkg (Mycelium),1.88,1.015,0.00015572622107969152,Food-Grade Mushroom Mycelium,146,5.1,0.486
2654,2025-03-22,55-Inch TV,Electronics,24.49,6.28,109,72,4.0,9,True,Road,763,Mushroom Pkg (Mycelium),11.6,9.343,0.031392,Food-Grade Mushroom Mycelium,146,5.1,0.486
2655,2025-06-26,Laptop,Electronics,2.0,0.12,29,21,1.0,8,True,Air,1677,Mushroom Pkg (Mycelium),2.4,8.385,0.000609,Food-Grade Mushroom Mycelium,146,5.1,0.486
2656,2025-06-23,Smartphone,Electronics,0.35,0.0,14,6,1.7302913453299058,9,True,Road,313,Mushroom Pkg (Mycelium),1.94,0.055,0.00014534447300771207,Food-Grade Mushroom Mycelium,146,5.1,0.486
2657,2025-11-24,Laptop,Electronics,1.56,0.19,27,18,2.0,9,True,Air,2381,Mushroom Pkg (Mycelium),2.42,9.286,0.000972,Food-Grade Mushroom Mycelium,146,5.1,0.486
2658,2025-03-15,T-Shirt,Clothing,0.19,0.18,25,18,2.0,1,False,Air,1748,Kraft Paper Mailer,0.28,0.83,0.0009,Single-Ply Kraft Paper,742,0.91,0.742
2659,2025-02-19,Sneakers,Clothing,1.16,1.23,28,20,11.0,4,False,Road,282,Kraft Paper Mailer,1.29,0.173,0.00616,Single-Ply Kraft Paper,742,0.91,0.742
2660,2025-08-26,Smart Watch,Electronics,0.11,0.0,4,4,1.7302913453299058,5,True,Road,708,Honeycomb Paper,1.04,0.039,2.7684661525278493e-05,Single-Ply Kraft Paper,742,0.91,0.742
2661,2025-10-22,Winter Jacket,Clothing,1.58,4.3,50,43,10.0,3,True,Road,309,Kraft Paper Mailer,2.32,0.664,0.0215,Single-Ply Kraft Paper,742,0.91,0.742
2662,2025-02-04,55-Inch TV,Electronics,17.17,5.44,108,63,4.0,10,True,Road,836,Mushroom Pkg (Mycelium),8.87,7.177,0.027216,Food-Grade Mushroom Mycelium,146,5.1,0.486
2663,2025-01-13,Laptop,Electronics,1.59,0.22,27,20,2.0,9,True,Air,2717,Mushroom Pkg (Mycelium),2.44,10.8,0.00108,Food-Grade Mushroom Mycelium,146,5.1,0.486
2664,2025-05-07,55-Inch TV,Electronics,24.22,7.22,129,70,4.0,9,True,Road,1140,Mushroom Pkg (Mycelium),11.49,13.805,0.03612,Food-Grade Mushroom Mycelium,146,5.1,0.486
2665,2025-07-28,Ceramic Vase,Home Decor,1.38,1.44,15,15,32.0,9,False,Air,2856,Mushroom Pkg (Mycelium),2.38,10.282,0.0072,Food-Grade Mushroom Mycelium,146,5.1,0.486
2666,2025-01-10,Sofa (Sectional),Furniture,72.03,268.38,187,92,78.0,5,False,Road,1367,Wood Crate,108.35,183.438,1.341912,Lightweight Plywood,515,2.23,0.535
2667,2025-12-13,Glass Table,Furniture,14.63,4.78,92,65,4.0,10,False,Road,124,Mushroom Pkg (Mycelium),7.85,0.907,0.02392,Food-Grade Mushroom Mycelium,146,5.1,0.486
2668,2025-07-14,T-Shirt,Clothing,0.29,0.08,22,19,1.0,2,False,Air,2295,Kraft Paper Mailer,0.52,1.664,0.000418,Single-Ply Kraft Paper,742,0.91,0.742
2669,2025-09-10,55-Inch TV,Electronics,21.47,6.75,124,68,4.0,9,True,Road,2255,Mushroom Pkg (Mycelium),10.39,24.207,0.033728,Food-Grade Mushroom Mycelium,146,5.1,0.486
2670,2025-04-15,Laptop,Electronics,1.56,0.12,29,21,1.0,9,True,Air,1210,Mushroom Pkg (Mycelium),2.42,4.719,0.000609,Food-Grade Mushroom Mycelium,146,5.1,0.486
2671,2025-01-06,Winter Jacket,Clothing,1.17,3.89,54,40,9.0,3,True,Road,142,Kraft Paper Mailer,2.16,0.276,0.01944,Single-Ply Kraft Paper,742,0.91,0.742
2672,2025-06-29,Ceramic Vase,Home Decor,1.91,1.18,14,15,28.0,10,False,Air,1472,Mushroom Pkg (Mycelium),2.76,7.029,0.00588,Food-Grade Mushroom Mycelium,146,5.1,0.486
2673,2025-06-19,Smart Watch,Electronics,0.16,0.0,5,4,1.7302913453299058,6,True,Air,1552,Honeycomb Paper,1.26,0.621,3.460582690659812e-05,Single-Ply Kraft Paper,742,0.91,0.742
2674,2025-03-12,Sofa (Sectional),Furniture,77.6,260.42,212,83,74.0,7,False,Road,58,Honeycomb Paper,105.57,7.552,1.302104,Single-Ply Kraft Paper,742,0.91,0.742
2675,2025-04-04,Sofa (Sectional),Furniture,66.32,313.7,210,97,77.0,5,False,Road,2172,Wood Crate,126.48,340.678,1.56849,Lightweight Plywood,515,2.23,0.535
2676,2025-08-06,Glass Table,Furniture,17.67,6.08,98,62,5.0,9,False,Road,765,Mushroom Pkg (Mycelium),8.87,6.759,0.03038,Food-Grade Mushroom Mycelium,146,5.1,0.486
2677,2025-07-05,Smart Watch,Electronics,0.19,0.0,5,4,1.7302913453299058,4,True,Air,1992,Corrugated Cardboard,0.88,0.946,3.460582690659812e-05,Industrial-Grade Corrugated Cardboard,688,0.92,1.031
2678,2025-08-14,Laptop,Electronics,2.47,0.13,31,21,1.0,7,True,Air,1434,Honeycomb Paper,2.39,8.855,0.000651,Single-Ply Kraft Paper,742,0.91,0.742
2679,2025-04-13,Shampoo,Beauty,0.61,0.21,19,8,7.0,4,True,Air,1103,PLA Bioplastic,1.04,1.682,0.001064,Lightweight PET Plastic,1082,0.97,1.941
2680,2025-01-09,T-Shirt,Clothing,0.19,0.09,26,18,1.0,2,False,Air,2975,Kraft Paper Mailer,0.48,1.413,0.000468,Single-Ply Kraft Paper,742,0.91,0.742
2681,2025-11-18,Glass Table,Furniture,13.16,5.29,105,63,4.0,10,False,Road,2889,Mushroom Pkg (Mycelium),7.26,19.01,0.02646,Food-Grade Mushroom Mycelium,146,5.1,0.486
2682,2025-12-10,Sneakers,Clothing,0.9,1.44,30,20,12.0,4,False,Air,2806,Kraft Paper Mailer,1.38,10.102,0.0072,Single-Ply Kraft Paper,742,0.91,0.742
2683,2025-12-16,Office Chair,Furniture,11.65,34.8,58,60,50.0,5,False,Road,1005,Wood Crate,14.92,17.487,0.174,Lightweight Plywood,515,2.23,0.535
2684,2025-08-03,Glass Table,Furniture,19.69,5.12,105,61,4.0,10,False,Road,85,Mushroom Pkg (Mycelium),9.88,0.837,0.02562,Food-Grade Mushroom Mycelium,146,5.1,0.486
2685,2025-01-17,Perfume Bottle,Beauty,0.41,0.04,10,4,5.0,9,True,Air,2753,Mushroom Pkg (Mycelium),1.96,2.822,0.0002,Food-Grade Mushroom Mycelium,146,5.1,0.486
2686,2025-06-05,Glass Table,Furniture,15.59,4.66,106,55,4.0,9,False,Road,386,Mushroom Pkg (Mycelium),8.04,3.009,0.02332,Food-Grade Mushroom Mycelium,146,5.1,0.486
2687,2025-03-23,Smartphone,Electronics,0.31,0.0,15,6,1.7302913453299058,7,True,Air,1898,Honeycomb Paper,1.52,1.471,0.00015572622107969152,Single-Ply Kraft Paper,742,0.91,0.742
2688,2025-05-03,Office Chair,Furniture,12.14,32.34,60,55,49.0,4,False,Road,1176,Wood Crate,13.74,19.016,0.1617,Lightweight Plywood,515,2.23,0.535
2689,2025-05-22,Laptop,Electronics,1.59,0.11,30,19,1.0,7,True,Air,1860,Honeycomb Paper,2.04,7.394,0.00057,Single-Ply Kraft Paper,742,0.91,0.742
2690,2025-07-24,Ceramic Vase,Home Decor,2.13,1.3,15,15,29.0,10,False,Road,496,Mushroom Pkg (Mycelium),2.85,0.528,0.006525,Food-Grade Mushroom Mycelium,146,5.1,0.486
2691,2025-06-13,Sneakers,Clothing,0.93,1.43,31,21,11.0,5,False,Air,802,Mushroom Pkg (Mycelium),1.57,2.867,0.007161,Food-Grade Mushroom Mycelium,146,5.1,0.486
2692,2025-05-17,Smart Watch,Electronics,0.17,0.0,5,4,1.0,5,True,Air,1060,Honeycomb Paper,1.07,0.451,2e-05,Single-Ply Kraft Paper,742,0.91,0.742
2693,2025-01-15,Shampoo,Beauty,0.71,0.2,18,8,7.0,5,True,Air,1538,PLA Bioplastic,1.28,2.73,0.001008,Lightweight PET Plastic,1082,0.97,1.941
2694,2025-05-04,Smart Watch,Electronics,0.18,0.0,5,4,1.7302913453299058,6,True,Air,2926,Honeycomb Paper,1.27,1.317,3.460582690659812e-05,Single-Ply Kraft Paper,742,0.91,0.742
2695,2025-09-08,Smartphone,Electronics,0.2,0.0,15,7,1.7302913453299058,9,True,Road,668,Mushroom Pkg (Mycelium),1.88,0.067,0.0001816805912596401,Food-Grade Mushroom Mycelium,146,5.1,0.486
2696,2025-02-26,T-Shirt,Clothing,0.27,0.2,25,20,2.0,1,False,Road,66,Kraft Paper Mailer,0.31,0.009,0.001,Single-Ply Kraft Paper,742,0.91,0.742
2697,2025-08-14,Sofa (Sectional),Furniture,55.19,290.5,204,89,80.0,6,False,Road,2737,Wood Crate,117.4,397.549,1.45248,Lightweight Plywood,515,2.23,0.535
