Record_ID,Main_Category,Subcategory,Packaging_Format,Primary_Material,Closure_Type,Barrier_Level,Product_Weight_kg,Packaging_Weight_kg,Pack_to_Product_Ratio,Shelf_Life_Days,Recyclability_Percentage,CO2_Emission_Packaging_kgCO2e,Biodegradability_Score_0_1,Breakage_Risk_0_1,Recycling_Label,Logistics_Region,End_of_Life_Score_0_1,Overall_Sustainability_Score_0_1
1028,Healthcare OTC,Cold & Flu,Can,Aluminium,Snap Fit,High,0.05,0.0093,0.186,271,92,0.0051,0.444,0.03,Widely Recycled,Tier-1 City,0.878,0.795
1029,Cosmetics,Lipstick,Blister Pack,Flexible Plastic,None,Medium,0.05,0.0072,0.145,132,28,0.0286,0.111,0.098,Widely Recycled,Urban Metro,0.98,0.542
1030,Personal Care,Shampoo,Bottle,Bioplastic,Screw Cap,High,0.223,0.0218,0.098,310,95,0.0172,0.779,0.091,Not Recycled,Urban Metro,0.216,0.799
1031,Pet Care,Pet Shampoo,Blister Pack,Composite (Plastic+Paper),Screw Cap,Low,0.376,0.0536,0.143,115,22,0.1242,0.267,0.014,Widely Recycled,Rural,0.814,0.521
1032,Stationery,Notebook,Pouch,Glass,Zipper,High,0.437,0.078,0.178,175,77,0.0746,0.219,0.164,Return to Store,Urban Metro,0.234,0.573
1033,Food & Beverage,Staples,Tray,Corrugated Board,Zipper,Ultra High,0.986,0.1182,0.12,366,71,0.1142,0.937,0.09,Widely Recycled,Tier-1 City,0.93,0.866
1034,Food & Beverage,Staples,Pouch,Paperboard,Heat Seal,High,1.003,0.1415,0.141,315,95,0.1218,0.95,0.035,Check Locally,Urban Metro,0.783,0.905
1035,Healthcare OTC,Digestive Aid,Tube,Flexible Plastic,Heat Seal,High,0.054,0.005,0.093,416,50,0.0177,0.284,0.025,Check Locally,Tier-2 City,0.698,0.611
1036,Household Care,Air Freshener,Bottle,Glass,Pump,High,0.371,0.128,0.345,268,76,0.111,0.131,0.145,Widely Recycled,Urban Metro,0.997,0.647
1037,Food & Beverage,Snacks,Tray,Paperboard,Pump,Ultra High,0.145,0.018,0.124,216,70,0.0195,0.898,0.101,Widely Recycled,Rural,0.838,0.865
1038,Baby Products,Baby Wipes,Can,Rigid Plastic,Heat Seal,Ultra High,0.307,0.0261,0.085,214,29,0.0759,0.047,0.113,Not Recycled,Rural,0.161,0.388
1039,Electronics,Headphones,Tub,Flexible Plastic,Flip Top,High,0.403,0.0842,0.209,298,70,0.2865,0.106,0.15,Widely Recycled,Urban Metro,0.738,0.533
1040,Apparel & Fashion,Jeans,Carton,Paperboard,Flip Top,Medium,0.649,0.0496,0.076,189,72,0.0186,0.78,0.09,Not Recycled,Rural,0.241,0.747
1041,Pet Care,Pet Shampoo,Tray,Corrugated Board,Flip Top,Medium,0.347,0.0238,0.069,165,96,0.0354,0.787,0.03,Compostable,Tier-1 City,0.984,0.915
1042,Apparel & Fashion,Shoes,Can,Tinplate,Snap Fit,Medium,0.631,0.1542,0.244,173,81,0.3532,0.122,0.011,Not Recycled,Tier-1 City,0.44,0.5
1043,Apparel & Fashion,Shoes,Box,Corrugated Board,Heat Seal,Low,0.895,0.1609,0.18,55,94,0.2189,0.981,0.058,Widely Recycled,Rural,0.943,0.907
1044,Healthcare OTC,Digestive Aid,Tub,Glass,Flip Top,High,0.05,0.0147,0.294,411,76,0.0072,0.426,0.246,Widely Recycled,Tier-2 City,0.792,0.735
1045,Apparel & Fashion,Jacket,Bottle,Rigid Plastic,Pump,Low,0.662,0.1029,0.156,59,20,0.1887,0.255,0.147,Compostable,Rural,0.867,0.502
1046,Personal Care,Skin Cream,Pouch,Glass,Zipper,High,0.079,0.0241,0.306,231,86,0.0259,0.263,0.082,Not Recycled,Urban Metro,0.267,0.628
1047,Apparel & Fashion,Jacket,Blister Pack,Rigid Plastic,None,Medium,0.979,0.1752,0.179,156,62,0.6396,0.296,0.045,Compostable,Rural,0.835,0.479
1048,Healthcare OTC,Vitamins,Tray,Paperboard,Screw Cap,High,0.218,0.0299,0.137,253,89,0.029,0.714,0.14,Not Recycled,Rural,0.41,0.79
1049,Food & Beverage,Staples,Bottle,Bioplastic,Pump,High,1.105,0.1309,0.118,313,99,0.1956,0.723,0.141,Not Recycled,Urban Metro,0.487,0.779
1050,Stationery,Pen,Can,Bioplastic,Zipper,High,0.05,0.0051,0.102,188,91,0.0076,0.941,0.13,Check Locally,Urban Metro,0.573,0.895
1051,Food & Beverage,Ready-to-Eat,Pouch,Tinplate,Heat Seal,High,0.299,0.0875,0.293,328,63,0.1065,0.566,0.039,Not Recycled,Urban Metro,0.18,0.623
1052,Pet Care,Pet Shampoo,Sachet,Bioplastic,Heat Seal,Low,0.473,0.0415,0.088,122,80,0.0329,0.729,0.043,Widely Recycled,Urban Metro,0.796,0.829
1053,Stationery,Marker,Box,Composite (Plastic+Paper),Snap Fit,Medium,0.05,0.0091,0.183,237,44,0.0222,0.169,0.019,Widely Recycled,Urban Metro,0.92,0.594
1054,Stationery,Marker,Sachet,Flexible Plastic,Heat Seal,Medium,0.05,0.0055,0.11,113,58,0.0123,0.237,0.123,Widely Recycled,Tier-1 City,0.998,0.662
1055,Personal Care,Toothpaste,Tub,Flexible Plastic,Pump,High,0.127,0.0277,0.218,234,70,0.0596,0.098,0.043,Not Recycled,Urban Metro,0.381,0.545
1056,Electronics,Headphones,Tube,Rigid Plastic,Zipper,Low,0.227,0.0239,0.105,111,42,0.0606,0.189,0.138,Widely Recycled,Tier-1 City,0.895,0.578
1057,Pet Care,Pet Food,Carton,Corrugated Board,Zipper,Medium,1.829,0.1598,0.087,204,99,0.1196,0.935,0.073,Not Recycled,Rural,0.175,0.82
1058,Stationery,Pen,Bottle,Rigid Plastic,Pump,High,0.05,0.0069,0.139,274,40,0.0198,0.115,0.01,Not Recycled,Tier-2 City,0.238,0.467
1059,Food & Beverage,Soft Drinks,Tub,Flexible Plastic,Screw Cap,Medium,1.003,0.2478,0.247,206,23,0.7333,0.105,0.128,Widely Recycled,Urban Metro,0.925,0.309
1060,Personal Care,Skin Cream,Bottle,Glass,Pump,High,0.072,0.0193,0.268,263,92,0.0154,0.31,0.114,Check Locally,Tier-1 City,0.78,0.737
1061,Personal Care,Soap,Tray,Paperboard,Heat Seal,Medium,0.116,0.0089,0.077,182,71,0.0099,0.804,0.012,Widely Recycled,Tier-2 City,0.843,0.843
1062,Cosmetics,Nail Polish,Sachet,Flexible Plastic,Heat Seal,High,0.05,0.0108,0.215,304,45,0.0284,0.264,0.135,Widely Recycled,Tier-1 City,0.746,0.597
1063,Apparel & Fashion,Jeans,Pouch,Rigid Plastic,Zipper,Medium,0.93,0.2256,0.243,183,65,0.5669,0.224,0.143,Check Locally,Urban Metro,0.757,0.476
1064,Household Care,Laundry Detergent,Bottle,Rigid Plastic,Flip Top,Medium,1.082,0.1702,0.157,200,55,0.4825,0.282,0.112,Widely Recycled,Urban Metro,0.721,0.487
1065,Apparel & Fashion,Jeans,Carton,Paperboard,None,Medium,0.691,0.0492,0.071,146,80,0.0632,0.815,0.095,Not Recycled,Urban Metro,0.468,0.797
1066,Electronics,Small Appliance,Carton,Composite (Plastic+Paper),None,Low,3.183,0.5729,0.18,74,42,1.3362,0.257,0.132,Check Locally,Tier-2 City,0.7,0.188
1067,Baby Products,Baby Wipes,Tube,Glass,None,High,0.416,0.1365,0.328,339,84,0.1927,0.277,0.131,Check Locally,Tier-1 City,0.787,0.655
1068,Electronics,Headphones,Tub,Rigid Plastic,Flip Top,Low,0.323,0.0429,0.133,93,54,0.1665,0.195,0.104,Compostable,Urban Metro,0.914,0.583
1069,Electronics,Mobile Phone,Blister Pack,Aluminium,Pump,Low,0.447,0.1183,0.264,92,72,0.114,0.388,0.029,Not Recycled,Urban Metro,0.333,0.612
1070,Pet Care,Pet Shampoo,Bottle,Bioplastic,Pump,Low,0.396,0.0502,0.127,85,82,0.073,0.857,0.087,Return to Store,Rural,0.139,0.761
1071,Stationery,Printer Ink,Box,Paperboard,Flip Top,Low,0.239,0.0422,0.177,91,84,0.0326,0.818,0.069,Not Recycled,Tier-1 City,0.361,0.8
1072,Apparel & Fashion,T-Shirt,Tube,Rigid Plastic,Screw Cap,Medium,0.212,0.0216,0.102,182,61,0.0821,0.218,0.02,Widely Recycled,Tier-1 City,0.758,0.608
1073,Apparel & Fashion,Shoes,Sachet,Flexible Plastic,Zipper,Low,1.36,0.3391,0.249,105,37,0.7839,0.055,0.135,Widely Recycled,Rural,0.919,0.314
1074,Stationery,Marker,Tray,Corrugated Board,Snap Fit,Medium,0.05,0.0031,0.063,119,83,0.0026,0.956,0.098,Check Locally,Tier-2 City,0.661,0.895
1075,Stationery,Printer Ink,Box,Composite (Plastic+Paper),Screw Cap,Low,0.24,0.021,0.088,86,32,0.0438,0.125,0.04,Not Recycled,Rural,0.18,0.432
1076,Baby Products,Baby Wipes,Sachet,Rigid Plastic,None,High,0.289,0.032,0.111,319,39,0.052,0.285,0.091,Check Locally,Rural,0.593,0.558
1077,Healthcare OTC,Pain Relief,Tray,Corrugated Board,None,High,0.05,0.0034,0.069,298,88,0.0031,0.729,0.065,Not Recycled,Urban Metro,0.425,0.802
1078,Healthcare OTC,Digestive Aid,Tray,Paperboard,Screw Cap,Ultra High,0.054,0.0069,0.128,242,95,0.0038,0.753,0.045,Widely Recycled,Urban Metro,0.819,0.887
1079,Cosmetics,Foundation,Can,Tinplate,Flip Top,Medium,0.05,0.0127,0.253,265,31,0.0321,0.518,0.04,Not Recycled,Rural,0.387,0.583
1080,Healthcare OTC,Vitamins,Bottle,Rigid Plastic,Pump,Ultra High,0.219,0.0333,0.152,354,57,0.0785,0.009,0.065,Return to Store,Tier-2 City,0.134,0.442
1081,Electronics,Headphones,Bottle,Glass,Flip Top,Medium,0.285,0.0621,0.218,158,75,0.0298,0.129,0.129,Widely Recycled,Tier-1 City,0.854,0.648
1082,Food & Beverage,Ready-to-Eat,Box,Corrugated Board,Zipper,Medium,0.414,0.0478,0.115,98,75,0.0562,0.94,0.101,Return to Store,Rural,0.205,0.786
1083,Healthcare OTC,Digestive Aid,Bottle,Bioplastic,Flip Top,High,0.05,0.0093,0.186,181,92,0.011,0.944,0.015,Check Locally,Urban Metro,0.679,0.914
1084,Healthcare OTC,Digestive Aid,Bottle,Rigid Plastic,Pump,Ultra High,0.05,0.0107,0.215,306,45,0.0428,0.059,0.023,Compostable,Tier-1 City,0.701,0.524
1085,Stationery,Marker,Blister Pack,Paperboard,Snap Fit,High,0.05,0.0056,0.112,296,90,0.0059,0.828,0.136,Not Recycled,Tier-1 City,0.399,0.833
1086,Pet Care,Pet Shampoo,Blister Pack,Corrugated Board,Pump,Medium,0.353,0.0537,0.152,231,90,0.0534,0.811,0.039,Not Recycled,Tier-2 City,0.32,0.801
1087,Household Care,Dishwash,Can,Aluminium,Zipper,Medium,0.523,0.1522,0.291,124,75,0.112,0.246,0.017,Compostable,Rural,0.875,0.66
1088,Electronics,Small Appliance,Can,Corrugated Board,None,Medium,2.902,0.1623,0.056,169,97,0.154,0.91,0.126,Check Locally,Tier-1 City,0.733,0.879
1089,Food & Beverage,Dairy,Box,Corrugated Board,None,High,0.587,0.0984,0.168,337,81,0.0986,0.704,0.056,Check Locally,Tier-2 City,0.483,0.757
1090,Cosmetics,Nail Polish,Can,Bioplastic,Zipper,Low,0.05,0.005,0.101,86,93,0.0019,0.972,0.049,Not Recycled,Rural,0.186,0.852
1091,Household Care,Floor Cleaner,Blister Pack,Composite (Plastic+Paper),Zipper,Low,1.044,0.2156,0.207,99,58,0.6893,0.242,0.103,Check Locally,Rural,0.516,0.388
1092,Apparel & Fashion,Jacket,Bottle,Rigid Plastic,Flip Top,High,0.841,0.1119,0.133,165,36,0.2885,0.114,0.099,Widely Recycled,Urban Metro,0.9,0.473
1093,Baby Products,Baby Food,Pouch,Aluminium,None,High,0.235,0.0534,0.228,292,90,0.0762,0.594,0.033,Widely Recycled,Urban Metro,0.896,0.815
1094,Apparel & Fashion,Jeans,Tube,Rigid Plastic,Heat Seal,Low,0.746,0.1388,0.186,101,40,0.423,0.175,0.095,Return to Store,Rural,0.214,0.36
1095,Pet Care,Cat Litter,Pouch,Rigid Plastic,None,High,4.929,0.4465,0.091,289,73,0.7121,0.286,0.103,Check Locally,Urban Metro,0.428,0.421
1096,Baby Products,Diapers,Sachet,Bioplastic,None,High,1.076,0.2191,0.204,226,82,0.3088,0.75,0.047,Widely Recycled,Urban Metro,0.785,0.757
1097,Healthcare OTC,Digestive Aid,Tube,Glass,Flip Top,Medium,0.05,0.012,0.239,157,88,0.0056,0.586,0.241,Widely Recycled,Urban Metro,0.961,0.84
1098,Stationery,Notebook,Blister Pack,Tinplate,Pump,Medium,0.414,0.1426,0.344,149,88,0.2769,0.181,0.046,Check Locally,Tier-2 City,0.634,0.588
1099,Household Care,Laundry Detergent,Carton,Corrugated Board,None,High,1.195,0.2104,0.176,375,71,0.0904,0.852,0.084,Not Recycled,Urban Metro,0.461,0.777
1100,Household Care,Floor Cleaner,Carton,Corrugated Board,Snap Fit,Low,1.082,0.1682,0.155,52,79,0.0855,0.763,0.097,Widely Recycled,Tier-1 City,0.864,0.833
1101,Cosmetics,Lipstick,Can,Aluminium,Flip Top,High,0.05,0.0129,0.258,184,87,0.0092,0.103,0.037,Check Locally,Rural,0.686,0.65
1102,Stationery,Pen,Box,Composite (Plastic+Paper),Zipper,Low,0.05,0.0122,0.245,70,39,0.0212,0.212,0.113,Not Recycled,Tier-2 City,0.176,0.482
1103,Healthcare OTC,Cold & Flu,Bottle,Rigid Plastic,Pump,High,0.053,0.0059,0.111,345,52,0.0212,0.091,0.127,Widely Recycled,Urban Metro,0.863,0.582
1104,Healthcare OTC,Digestive Aid,Carton,Paperboard,Screw Cap,High,0.05,0.0072,0.143,277,72,0.0071,0.871,0.138,Widely Recycled,Tier-1 City,0.748,0.853
1105,Stationery,Printer Ink,Tray,Paperboard,None,Low,0.231,0.0293,0.127,91,83,0.0096,0.977,0.011,Check Locally,Rural,0.699,0.903
1106,Electronics,Mobile Phone,Pouch,Corrugated Board,Zipper,Low,0.307,0.0381,0.124,120,77,0.018,0.812,0.114,Check Locally,Tier-1 City,0.441,0.797
1107,Electronics,Mobile Phone,Tray,Paperboard,Heat Seal,Low,0.434,0.0268,0.062,91,90,0.0389,0.79,0.131,Check Locally,Tier-1 City,0.6,0.842
1108,Personal Care,Deodorant,Bottle,Rigid Plastic,Flip Top,Low,0.118,0.011,0.093,128,65,0.0364,0.274,0.112,Not Recycled,Tier-1 City,0.271,0.575
1109,Stationery,Marker,Tub,Flexible Plastic,Flip Top,Low,0.05,0.0063,0.127,35,33,0.0179,0.051,0.122,Not Recycled,Urban Metro,0.232,0.428
1110,Electronics,Headphones,Blister Pack,Corrugated Board,None,Low,0.304,0.0428,0.141,107,94,0.0499,0.91,0.144,Not Recycled,Tier-2 City,0.368,0.848
1111,Cosmetics,Mascara,Bottle,Flexible Plastic,Pump,Low,0.05,0.0079,0.157,54,79,0.0238,0.236,0.057,Not Recycled,Tier-2 City,0.218,0.596
1112,Apparel & Fashion,T-Shirt,Tub,Flexible Plastic,Pump,Low,0.25,0.0614,0.245,90,69,0.1337,0.128,0.043,Widely Recycled,Urban Metro,0.916,0.611
1113,Household Care,Floor Cleaner,Box,Corrugated Board,Zipper,Medium,1.008,0.1108,0.11,187,79,0.0628,0.764,0.067,Widely Recycled,Urban Metro,0.842,0.835
1114,Cosmetics,Lipstick,Tub,Flexible Plastic,Screw Cap,Medium,0.05,0.0064,0.128,137,21,0.0238,0.266,0.039,Check Locally,Tier-1 City,0.783,0.544
1115,Food & Beverage,Ready-to-Eat,Blister Pack,Aluminium,Heat Seal,High,0.296,0.0667,0.225,261,74,0.0213,0.476,0.01,Compostable,Tier-1 City,0.806,0.743
1116,Food & Beverage,Ready-to-Eat,Pouch,Steel,Zipper,Medium,0.361,0.1117,0.31,131,61,0.132,0.391,0.039,Not Recycled,Tier-2 City,0.186,0.56
1117,Baby Products,Baby Wipes,Pouch,Rigid Plastic,None,Ultra High,0.361,0.0415,0.115,241,44,0.1391,0.076,0.108,Compostable,Urban Metro,0.835,0.517
1118,Healthcare OTC,Cold & Flu,Tube,Glass,Screw Cap,High,0.056,0.0128,0.228,317,92,0.0098,0.549,0.13,Widely Recycled,Rural,0.759,0.807
1119,Pet Care,Cat Litter,Tub,Flexible Plastic,Screw Cap,Medium,4.481,0.634,0.141,170,30,2.4741,0.215,0.115,Check Locally,Tier-2 City,0.53,0.0
1120,Healthcare OTC,Cold & Flu,Tub,Glass,Screw Cap,High,0.05,0.0122,0.243,306,76,0.0118,0.233,0.219,Check Locally,Tier-1 City,0.573,0.642
1121,Apparel & Fashion,Jacket,Carton,Composite (Plastic+Paper),Heat Seal,Low,0.962,0.0772,0.08,74,36,0.2284,0.179,0.119,Check Locally,Tier-1 City,0.617,0.47
1122,Personal Care,Deodorant,Tube,Bioplastic,Pump,High,0.13,0.0275,0.211,287,95,0.0394,0.899,0.077,Widely Recycled,Tier-2 City,0.883,0.93
1123,Cosmetics,Nail Polish,Can,Paperboard,Heat Seal,Medium,0.05,0.0041,0.082,204,70,0.0048,0.885,0.107,Widely Recycled,Tier-1 City,0.898,0.875
1124,Electronics,Mobile Phone,Box,Composite (Plastic+Paper),Snap Fit,Medium,0.334,0.0575,0.172,201,47,0.1524,0.141,0.133,Widely Recycled,Tier-2 City,0.891,0.548
1125,Healthcare OTC,Cold & Flu,Blister Pack,Steel,Screw Cap,High,0.054,0.0186,0.343,235,73,0.0555,0.426,0.018,Compostable,Urban Metro,0.951,0.738
1126,Personal Care,Soap,Bottle,Glass,Flip Top,Medium,0.096,0.0171,0.178,150,78,0.0062,0.398,0.209,Widely Recycled,Tier-2 City,0.8,0.732
1127,Personal Care,Skin Cream,Tub,Rigid Plastic,Pump,High,0.066,0.0102,0.154,267,26,0.0209,0.179,0.147,Not Recycled,Tier-1 City,0.299,0.459
1128,Stationery,Notebook,Box,Corrugated Board,Snap Fit,High,0.435,0.0431,0.099,410,81,0.0417,0.742,0.064,Check Locally,Tier-1 City,0.651,0.812
1129,Electronics,Laptop,Carton,Composite (Plastic+Paper),Heat Seal,Low,1.729,0.2866,0.166,124,28,0.9366,0.021,0.116,Return to Store,Tier-1 City,0.113,0.113
1130,Electronics,Laptop,Can,Glass,None,Medium,2.018,0.5826,0.289,213,96,0.2775,0.215,0.104,Check Locally,Tier-1 City,0.429,0.588
1131,Baby Products,Diapers,Tub,Glass,Screw Cap,High,1.031,0.3477,0.337,355,75,0.5174,0.249,0.165,Widely Recycled,Tier-1 City,0.883,0.542
1132,Cosmetics,Foundation,Box,Corrugated Board,Snap Fit,High,0.05,0.0056,0.112,335,81,0.004,0.707,0.06,Check Locally,Urban Metro,0.699,0.82
1133,Household Care,Laundry Detergent,Tub,Flexible Plastic,Flip Top,Medium,0.94,0.1477,0.157,213,51,0.5356,0.279,0.14,Widely Recycled,Urban Metro,0.943,0.493
1134,Food & Beverage,Soft Drinks,Tube,Flexible Plastic,Heat Seal,High,1.018,0.2285,0.224,276,68,0.4471,0.178,0.092,Not Recycled,Urban Metro,0.441,0.457
1135,Pet Care,Pet Food,Blister Pack,Steel,Flip Top,Medium,2.224,0.5463,0.246,183,63,1.1977,0.305,0.017,Widely Recycled,Tier-2 City,0.987,0.339
1136,Personal Care,Shampoo,Tub,Glass,Screw Cap,High,0.227,0.0763,0.336,265,96,0.0356,0.525,0.141,Widely Recycled,Tier-1 City,0.727,0.798
1137,Healthcare OTC,Cold & Flu,Tub,Rigid Plastic,Pump,Ultra High,0.05,0.0071,0.143,204,60,0.0201,0.115,0.073,Check Locally,Urban Metro,0.676,0.581
1138,Household Care,Air Freshener,Bottle,Flexible Plastic,Pump,Medium,0.349,0.0711,0.204,185,56,0.2243,0.27,0.12,Compostable,Urban Metro,0.883,0.586
1139,Household Care,Floor Cleaner,Carton,Corrugated Board,Heat Seal,Medium,1.041,0.1832,0.176,158,87,0.1067,0.953,0.129,Widely Recycled,Urban Metro,0.896,0.906
1140,Baby Products,Baby Food,Tray,Paperboard,Snap Fit,High,0.273,0.0313,0.115,244,87,0.0409,0.709,0.061,Compostable,Tier-2 City,0.798,0.84
1141,Stationery,Printer Ink,Bottle,Flexible Plastic,Screw Cap,Low,0.248,0.023,0.093,83,48,0.0588,0.133,0.016,Check Locally,Urban Metro,0.643,0.54
1142,Healthcare OTC,Cold & Flu,Carton,Corrugated Board,Zipper,High,0.051,0.0088,0.173,246,99,0.0077,0.84,0.1,Not Recycled,Tier-1 City,0.168,0.824
1143,Healthcare OTC,Pain Relief,Tray,Composite (Plastic+Paper),Heat Seal,High,0.05,0.0048,0.095,205,22,0.0174,0.062,0.091,Widely Recycled,Urban Metro,0.987,0.519
1144,Food & Beverage,Dairy,Tube,Bioplastic,None,Ultra High,0.53,0.1176,0.222,178,75,0.1353,0.718,0.139,Widely Recycled,Urban Metro,0.972,0.81
1145,Healthcare OTC,Digestive Aid,Tray,Composite (Plastic+Paper),Screw Cap,Ultra High,0.05,0.0115,0.229,337,29,0.039,0.204,0.086,Not Recycled,Urban Metro,0.328,0.472
1146,Cosmetics,Foundation,Box,Composite (Plastic+Paper),None,Medium,0.05,0.0107,0.211,98,62,0.0192,0.177,0.146,Compostable,Tier-2 City,0.932,0.643
1147,Apparel & Fashion,Jacket,Tray,Corrugated Board,None,Low,0.825,0.1056,0.128,84,73,0.1327,0.893,0.132,Check Locally,Urban Metro,0.559,0.796
1148,Cosmetics,Mascara,Can,Steel,Pump,Low,0.05,0.0161,0.323,70,62,0.0255,0.276,0.023,Widely Recycled,Urban Metro,0.741,0.642
1149,Apparel & Fashion,Jeans,Tube,Rigid Plastic,Zipper,Low,0.714,0.1317,0.184,55,48,0.3948,0.054,0.077,Widely Recycled,Tier-1 City,0.913,0.457
1150,Healthcare OTC,Vitamins,Tub,Flexible Plastic,Screw Cap,High,0.22,0.0249,0.113,329,23,0.0934,0.284,0.112,Check Locally,Tier-1 City,0.447,0.482
1151,Food & Beverage,Dairy,Tray,Paperboard,Zipper,High,0.584,0.0557,0.095,300,87,0.0281,0.793,0.013,Widely Recycled,Rural,0.778,0.866
1152,Cosmetics,Lipstick,Box,Paperboard,Screw Cap,Medium,0.05,0.0042,0.083,190,87,0.0029,0.859,0.103,Check Locally,Urban Metro,0.494,0.849
1153,Healthcare OTC,Vitamins,Can,Aluminium,Snap Fit,Ultra High,0.198,0.0634,0.32,178,75,0.0929,0.164,0.017,Not Recycled,Urban Metro,0.409,0.572
1154,Apparel & Fashion,Jeans,Sachet,Flexible Plastic,Heat Seal,Low,0.694,0.0802,0.115,107,62,0.1772,0.08,0.133,Widely Recycled,Tier-1 City,0.737,0.537
1155,Food & Beverage,Snacks,Tub,Rigid Plastic,Pump,Ultra High,0.137,0.0268,0.195,310,45,0.0479,0.214,0.04,Check Locally,Tier-2 City,0.494,0.539
1156,Pet Care,Pet Food,Carton,Composite (Plastic+Paper),Snap Fit,High,2.421,0.488,0.202,249,71,0.7438,0.29,0.058,Widely Recycled,Urban Metro,0.883,0.475
1157,Stationery,Printer Ink,Bottle,Rigid Plastic,Flip Top,High,0.243,0.0529,0.218,177,75,0.1107,0.162,0.032,Widely Recycled,Rural,0.891,0.637
1158,Apparel & Fashion,Shoes,Box,Corrugated Board,Zipper,Medium,0.965,0.1127,0.117,157,82,0.0399,0.987,0.143,Widely Recycled,Urban Metro,0.758,0.903
1159,Stationery,Printer Ink,Blister Pack,Bioplastic,None,Low,0.284,0.0459,0.162,71,89,0.0242,0.86,0.055,Not Recycled,Urban Metro,0.135,0.795
1160,Pet Care,Cat Litter,Can,Flexible Plastic,None,Medium,5.332,0.5216,0.098,141,72,1.4562,0.116,0.018,Not Recycled,Rural,0.135,0.099
1161,Cosmetics,Mascara,Sachet,Flexible Plastic,Zipper,High,0.05,0.0054,0.109,413,21,0.0164,0.276,0.025,Check Locally,Tier-1 City,0.767,0.546
1162,Pet Care,Cat Litter,Tray,Paperboard,Flip Top,High,4.097,0.6214,0.152,356,74,0.2229,0.819,0.13,Compostable,Urban Metro,0.858,0.795
1163,Pet Care,Cat Litter,Bottle,Glass,Flip Top,Medium,5.399,1.759,0.326,178,89,1.3125,0.409,0.147,Check Locally,Tier-1 City,0.571,0.338
1164,Personal Care,Soap,Tub,Glass,Pump,Medium,0.097,0.0318,0.327,152,92,0.0219,0.569,0.243,Widely Recycled,Tier-1 City,0.808,0.817
1165,Electronics,Small Appliance,Sachet,Rigid Plastic,None,Low,2.379,0.2503,0.105,31,22,0.7767,0.019,0.113,Widely Recycled,Tier-2 City,0.925,0.269
1166,Pet Care,Pet Shampoo,Can,Bioplastic,Screw Cap,Medium,0.347,0.0569,0.164,197,74,0.0287,0.701,0.055,Widely Recycled,Urban Metro,0.961,0.832
1167,Apparel & Fashion,Jeans,Tub,Bioplastic,Pump,Medium,0.784,0.1549,0.198,221,94,0.1665,0.821,0.076,Widely Recycled,Rural,0.807,0.854
1168,Stationery,Pen,Can,Glass,Flip Top,Medium,0.05,0.01,0.201,181,79,0.0149,0.248,0.132,Widely Recycled,Urban Metro,0.993,0.717
1169,Baby Products,Baby Food,Tube,Flexible Plastic,Zipper,Ultra High,0.268,0.0446,0.166,317,57,0.1451,0.076,0.123,Check Locally,Rural,0.597,0.513
1170,Apparel & Fashion,Jacket,Bottle,Flexible Plastic,Pump,Medium,0.806,0.1801,0.224,176,60,0.6527,0.042,0.014,Widely Recycled,Tier-2 City,0.947,0.41
1171,Baby Products,Baby Wipes,Tub,Flexible Plastic,Screw Cap,High,0.417,0.0818,0.196,184,28,0.1728,0.058,0.041,Not Recycled,Tier-2 City,0.243,0.373
1172,Electronics,Mobile Phone,Bottle,Bioplastic,Screw Cap,High,0.498,0.1161,0.233,232,73,0.0718,0.976,0.142,Check Locally,Urban Metro,0.6,0.846
1173,Stationery,Pen,Tub,Glass,Screw Cap,Medium,0.05,0.0112,0.224,153,73,0.0164,0.387,0.14,Check Locally,Urban Metro,0.78,0.712
1174,Stationery,Marker,Tray,Composite (Plastic+Paper),Heat Seal,Medium,0.05,0.0116,0.233,261,68,0.0268,0.152,0.115,Widely Recycled,Tier-1 City,0.726,0.618
1175,Household Care,Dishwash,Pouch,Paperboard,Heat Seal,Medium,0.801,0.1259,0.157,163,72,0.1258,0.892,0.01,Check Locally,Tier-1 City,0.478,0.782
1176,Electronics,Mobile Phone,Pouch,Rigid Plastic,Heat Seal,Medium,0.283,0.047,0.166,113,42,0.1584,0.262,0.134,Widely Recycled,Urban Metro,0.734,0.546
1177,Cosmetics,Lipstick,Tray,Paperboard,Zipper,Medium,0.05,0.0066,0.132,233,89,0.0078,0.969,0.071,Widely Recycled,Tier-1 City,0.914,0.95
1178,Food & Beverage,Dairy,Carton,Corrugated Board,None,Ultra High,0.59,0.0917,0.156,322,93,0.1026,0.832,0.148,Check Locally,Tier-1 City,0.457,0.821
1179,Stationery,Notebook,Tub,Flexible Plastic,Pump,Medium,0.353,0.0678,0.192,115,39,0.2503,0.032,0.015,Widely Recycled,Urban Metro,0.72,0.442
1180,Household Care,Air Freshener,Tube,Glass,Pump,Low,0.333,0.0659,0.198,110,87,0.0641,0.484,0.194,Widely Recycled,Urban Metro,0.838,0.77
1181,Healthcare OTC,Pain Relief,Tray,Paperboard,Zipper,Medium,0.062,0.0076,0.122,204,93,0.0049,0.755,0.018,Widely Recycled,Urban Metro,0.706,0.865
1182,Healthcare OTC,Cold & Flu,Tube,Flexible Plastic,Snap Fit,Medium,0.052,0.0075,0.145,130,25,0.0188,0.063,0.105,Not Recycled,Tier-2 City,0.191,0.406
