Category_item,Weight_kg,Volumetric_Weight_kg,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg_item,Material_ID,Material_Name,Category_material,Density_kg_m3,Tensile_Strength_MPa,Cost_per_kg,CO2_Emission_kg_material,Biodegradable,co2_impact_index,cost_efficiency_index,environmental_impact_score,material_suitability_score,sustainability_score,sustainability_rating,Item_Volume_m3
Electronics,23.28,8.32,9,TRUE,Road,1249,Mushroom Pkg (Mycelium),11.11,14.538,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,53.6,83.32,16.79,3.72,5.954972844,A,0.0416
Electronics,0.14,0,4,TRUE,Air,2890,Corrugated Cardboard,0.86,1.012,114,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,82.54,0.25,8.97,3.99,0.033444812,E,1.60E-05
Furniture,19.28,4.81,9,FALSE,Road,58,Mushroom Pkg (Mycelium),9.51,0.559,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,75.16,80.59,8.99,3.08,10.75728468,A,0.024072
Beauty,0.35,0.03,9,TRUE,Road,105,Mushroom Pkg (Mycelium),1.94,0.018,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,99.42,6.55,0.21,3.72,37.4283932,A,0.00016
Beauty,0.34,0.04,10,TRUE,Air,1135,Mushroom Pkg (Mycelium),2.14,0.965,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,83.94,6.39,5.81,3.37,1.319793232,C,0.000225
Furniture,13.36,32.66,6,FALSE,Road,1705,Wood Crate,14.26,27.843,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,45.61,32.6,26.66,11.5,1.467366787,B,0.163296
Clothing,0.87,1.28,3,FALSE,Air,2394,Kraft Paper Mailer,1.11,7.661,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,47.23,6.64,28.31,39.39,0.281455306,E,0.00638
Furniture,13.59,33.81,4,FALSE,Road,1652,Wood Crate,14.32,27.927,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,45.54,22.19,26.7,16.15,0.997303333,C,0.16907
Electronics,1.52,0.22,7,TRUE,Air,1684,Corrugated Cardboard,2.01,6.399,114,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,48.94,6.91,26.24,2.45,0.316006086,E,0.001116
Furniture,17.05,6.65,9,FALSE,Road,1787,Mushroom Pkg (Mycelium),8.62,15.234,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,53.94,78.61,16.67,3.08,5.658787903,A,0.033245
Clothing,1.52,4,4,TRUE,Road,698,Kraft Paper Mailer,2.4,1.396,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,78.95,13.42,11.29,31.48,1.426394914,C,0.01998
Furniture,56.55,317.68,5,FALSE,Road,2247,Wood Crate,128.07,356.913,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,7.16,29.36,45.51,13.44,0.774159508,D,1.5884
Electronics,0.15,0,6,TRUE,Road,582,Honeycomb Paper,1.26,0.044,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,98.35,1.26,0.78,15.9,1.938459053,B,2.00E-05
Furniture,10.96,29.03,6,FALSE,Road,2332,Wood Crate,12.81,33.849,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,43.24,32.25,27.83,11.5,1.390585649,C,0.145152
Electronics,20.47,6.12,9,TRUE,Road,1843,Mushroom Pkg (Mycelium),9.99,18.863,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,50.8,81.46,17.8,3.72,5.491685085,A,0.030624
Furniture,59.17,303.98,8,FALSE,Road,1169,Wood Crate,123.19,177.676,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,17.38,47.13,40.5,8.92,1.39644441,C,1.519896
Electronics,0.19,0,5,TRUE,Air,2632,Honeycomb Paper,1.08,1.25,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,80,1.7,9.42,18.57,0.216560487,E,2.00E-05
Electronics,0.19,0,5,TRUE,Air,923,Honeycomb Paper,1.08,0.438,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,89.82,1.7,4.8,18.57,0.424999911,D,0
Electronics,0.19,0,6,TRUE,Road,402,Honeycomb Paper,1.28,0.038,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,98.03,1.73,0.93,15.9,2.232255664,B,2.00E-05
Clothing,0.28,0.1,1,FALSE,Road,699,Kraft Paper Mailer,0.31,0.098,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,95.51,1.23,2.41,78.9,0.612447879,D,0.0005
Electronics,1.51,0.1,7,TRUE,Air,2581,Honeycomb Paper,2,9.743,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,42.08,13.66,27.29,13.9,0.60065956,D,0.000504
Clothing,0.93,1.41,3,FALSE,Road,539,Kraft Paper Mailer,1.16,0.38,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,87.27,7.03,6.83,39.39,1.235138911,C,0.007056
Furniture,14.64,32.89,5,FALSE,Road,736,Wood Crate,14.16,12.104,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,55.62,27.45,21.76,13.44,1.513786695,B,0.16445
Furniture,14.16,32.11,5,FALSE,Road,2434,Wood Crate,13.84,39.078,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,40.87,27.41,28.99,13.44,1.134598098,C,0.160552
Electronics,0.24,0,8,TRUE,Air,1863,Mushroom Pkg (Mycelium),1.7,1.118,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,82.41,4.35,6.36,4.15,0.820754588,D,0
Beauty,0.44,0.04,9,TRUE,Road,169,Mushroom Pkg (Mycelium),1.98,0.037,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,98.91,8.23,0.39,3.72,25.32301199,A,0.0002
Furniture,16.29,5.5,9,FALSE,Road,2515,Mushroom Pkg (Mycelium),8.32,20.485,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,50.23,77.81,18.01,3.08,5.184452794,A,0.0275
Furniture,71.2,247.86,8,FALSE,Road,945,Wood Crate,100.74,117.114,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,22.82,46.99,37.84,8.92,1.490169094,B,1.2393
Home Decor,1.39,1.14,10,FALSE,Air,1402,Mushroom Pkg (Mycelium),2.56,4.872,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,57.76,23.5,15.28,2.79,1.845549617,B,0.005684
Furniture,16.52,5.78,10,FALSE,Road,1003,Mushroom Pkg (Mycelium),8.61,8.285,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,61.1,84.78,14.08,2.79,7.225567669,A,0.02889
Electronics,15.48,6.75,9,TRUE,Road,717,Mushroom Pkg (Mycelium),7.99,5.55,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,65.4,76.99,12.52,3.72,7.379232637,A,0.033744
Home Decor,1.11,1.1,9,FALSE,Road,255,Mushroom Pkg (Mycelium),2.24,0.142,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,96.01,19.18,1.44,3.08,15.98332223,A,0.005488
Home Decor,2.23,1.18,9,FALSE,Air,1884,Mushroom Pkg (Mycelium),2.69,10.503,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,42.02,32.55,20.98,3.08,1.861773029,B,0.00588
Clothing,0.18,0.19,1,FALSE,Road,184,Kraft Paper Mailer,0.28,0.017,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,97.75,0.75,1.21,78.9,0.743801038,D,0.00095
Furniture,14.11,37.12,5,FALSE,Road,1760,Wood Crate,15.85,32.666,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,43.35,27.68,27.77,13.44,1.196110868,C,0.1856
Furniture,11.29,40.07,6,FALSE,Road,2960,Wood Crate,17.23,59.304,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,35.13,33.11,31.8,11.5,1.249433923,C,0.20034
Home Decor,2.6,1.38,10,FALSE,Road,735,Mushroom Pkg (Mycelium),3.04,0.956,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,86.68,37.41,4.82,2.79,9.313691014,A,0.006912
Electronics,23.61,7.2,9,TRUE,Road,854,Mushroom Pkg (Mycelium),11.24,10.081,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,57.57,83.52,15.35,3.72,6.529250389,A,0.036
Beauty,0.97,0.22,3,TRUE,Road,510,PLA Bioplastic,0.99,0.247,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,82.83,13.64,9.77,49.94,1.675332479,B,0.00112
Home Decor,2.91,1.3,9,FALSE,Air,2509,Mushroom Pkg (Mycelium),2.96,18.253,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,30.01,38.73,25.33,3.08,1.834820299,B,0.006525
Electronics,23.68,7.42,9,TRUE,Road,2462,Mushroom Pkg (Mycelium),11.27,29.15,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,44.82,83.55,19.97,3.72,5.020530545,B,0.037088
Clothing,1.13,1.44,3,FALSE,Air,1750,Kraft Paper Mailer,1.18,6.3,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,50.11,7.06,26.76,39.39,0.316591916,E,0.0072
Clothing,0.19,0.17,2,FALSE,Air,1687,Kraft Paper Mailer,0.48,0.801,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,84.29,0.99,8.43,52.56,0.14092525,E,0.000828
Clothing,1.04,1.07,5,FALSE,Air,832,Kraft Paper Mailer,1.43,2.226,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,66.16,7.23,18.15,26.22,0.478016503,D,0.005346
Home Decor,2.44,1.14,10,FALSE,Road,99,Mushroom Pkg (Mycelium),2.98,0.121,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,93.63,35.79,2.3,2.79,18.67303536,A,0.005684
Electronics,2.14,0.26,7,TRUE,Road,558,PLA Bioplastic,2.26,0.597,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,73.27,31.61,15.21,24.91,2.493885438,B,0.001302
Furniture,70.19,281.23,7,FALSE,Road,92,Wood Crate,113.89,12.937,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,44.87,41.18,27.03,10.05,1.828190831,B,1.40616
Furniture,14.75,4.42,10,FALSE,Road,2024,Mushroom Pkg (Mycelium),7.9,14.927,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,54.54,82.48,16.45,2.79,6.01677775,A,0.02208
Clothing,1.85,2.98,2,TRUE,Air,1282,Kraft Paper Mailer,1.59,9.551,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,40.97,7.25,31.67,52.56,0.274707917,E,0.014904
Clothing,1.28,3.05,3,TRUE,Air,2911,Kraft Paper Mailer,1.82,22.196,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,24.93,9.95,40.27,39.39,0.296498627,E,0.015228
Furniture,75.8,327.8,5,FALSE,Road,1552,Wood Crate,132.12,254.373,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,11.89,29.36,43.2,13.44,0.815555537,D,1.639001
Furniture,42.99,281.34,8,FALSE,Road,483,Mushroom Pkg (Mycelium),114.14,67.944,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,32.17,87.15,24.54,3.44,4.261613518,B,1.40671
Electronics,0.29,0.02,6,TRUE,Air,1473,Honeycomb Paper,1.32,1.068,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,81.09,2.9,8.91,15.9,0.390572347,D,9.10E-05
Electronics,0.12,0,5,TRUE,Road,407,Honeycomb Paper,1.05,0.024,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,98.95,0.87,0.49,18.57,2.130607897,B,2.00E-05
Electronics,24.44,6.53,9,TRUE,Road,1537,Mushroom Pkg (Mycelium),11.58,18.782,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,50.38,83.93,17.95,3.72,5.610918907,A,0.03264
Electronics,0.11,0,5,TRUE,Air,1293,Honeycomb Paper,1.04,0.356,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,92.04,0.75,3.75,18.57,0.239999936,E,0
Electronics,0.16,0,5,TRUE,Road,696,Honeycomb Paper,1.06,0.056,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,98.09,1.37,0.9,18.57,1.826664637,B,0
Beauty,0.4,0.04,10,TRUE,Air,2491,Mushroom Pkg (Mycelium),2.16,2.491,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,70.58,7.57,10.65,3.37,0.852957666,C,0.00018
Furniture,11.53,34.38,5,FALSE,Road,2651,Wood Crate,14.75,45.571,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,38.95,27.54,29.93,13.44,1.104176375,C,0.171912
Clothing,1.33,3.39,4,TRUE,Air,1768,Kraft Paper Mailer,2.16,14.984,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,33.11,12.6,35.89,31.48,0.421287255,D,0.016974
Electronics,0.37,0.02,9,TRUE,Air,1588,Mushroom Pkg (Mycelium),1.95,1.469,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,78.63,6.92,7.73,3.72,1.074256006,C,9.80E-05
Home Decor,1.92,1.43,9,FALSE,Road,463,Mushroom Pkg (Mycelium),2.57,0.444,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,91.47,29.27,3.09,3.08,11.36698661,A,0.007168
Electronics,0.23,0,9,TRUE,Air,2195,Mushroom Pkg (Mycelium),1.89,1.262,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,80.9,4.2,6.91,3.72,0.729377608,D,0
Electronics,0.22,0,7,TRUE,Road,462,Honeycomb Paper,1.49,0.051,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,97.56,2.12,1.15,13.9,2.212171989,B,0
Clothing,1.94,4.03,4,TRUE,Air,1027,Kraft Paper Mailer,2.41,10.347,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,39.33,13.47,32.55,31.48,0.496589846,D,0.02014
Beauty,0.57,0.19,4,TRUE,Air,1555,PLA Bioplastic,1.03,2.216,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,66.12,10.1,19.28,39.92,0.628630673,D,0.000931
Clothing,1.45,3.48,2,TRUE,Road,192,Kraft Paper Mailer,1.79,0.334,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,84.28,7.54,8.43,52.56,1.073309481,C,0.017415
Furniture,14.28,35.91,6,FALSE,Road,1568,Wood Crate,15.56,28.153,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,45.34,32.86,26.8,11.5,1.471343229,B,0.17955
Beauty,0.62,0.22,5,TRUE,Air,1118,PLA Bioplastic,1.25,1.733,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,68.36,11.4,18.01,33.25,0.75957797,D,0.00112
Clothing,0.83,1.17,4,FALSE,Air,1049,Kraft Paper Mailer,1.27,3.068,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,62.94,7.11,19.88,31.48,0.429175029,D,0.005832
Clothing,0.29,0.1,1,FALSE,Air,2559,Kraft Paper Mailer,0.32,1.855,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,73.47,1.23,14.23,78.9,0.103724518,E,0.000494
Clothing,0.85,1.13,5,FALSE,Road,302,Kraft Paper Mailer,1.45,0.171,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,89.38,7.56,5.7,26.22,1.591578668,B,0.005643
Furniture,62.74,241.77,5,FALSE,Road,178,Wood Crate,97.71,21.518,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,42.16,29.28,28.36,13.44,1.238928024,C,1.208844
Furniture,17.67,5.58,10,FALSE,Road,770,Mushroom Pkg (Mycelium),9.07,6.803,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,62.84,86.1,13.45,2.79,7.681783815,A,0.0279
Electronics,23.38,8.88,9,TRUE,Road,268,Mushroom Pkg (Mycelium),11.15,3.133,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,67.18,83.38,11.88,3.72,8.422221513,A,0.044375
Electronics,0.36,0,9,TRUE,Air,1184,Mushroom Pkg (Mycelium),1.94,1.066,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,82.74,6.76,6.25,3.72,1.297919792,C,0
Furniture,12.98,38.69,5,FALSE,Road,2145,Wood Crate,16.48,41.495,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,40.15,27.75,29.34,13.44,1.134969286,C,0.19344
Beauty,0.85,0.21,3,TRUE,Air,2339,PLA Bioplastic,0.94,4.97,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,52.68,12.53,26.93,49.94,0.558336407,D,0.001064
Electronics,0.36,0,7,TRUE,Road,128,Honeycomb Paper,1.54,0.023,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,96.59,3.76,1.61,13.9,2.802482731,B,0
Electronics,1.65,0.22,9,TRUE,Air,802,Mushroom Pkg (Mycelium),2.46,3.308,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,64.5,26.21,12.85,3.72,2.447626269,B,0.001102
Electronics,0.37,0.02,8,TRUE,Air,851,Mushroom Pkg (Mycelium),1.75,0.787,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,86.04,6.85,5.05,4.15,1.62772245,B,9.10E-05
Electronics,22.66,8.57,10,TRUE,Road,2640,Mushroom Pkg (Mycelium),11.06,29.911,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,44.55,90.58,20.06,3.37,5.418544097,A,0.04284
Electronics,0.31,0.02,6,TRUE,Air,1648,Honeycomb Paper,1.32,1.277,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,78.87,3.14,9.95,15.9,0.378693429,D,7.80E-05
Furniture,13.48,4.49,10,FALSE,Road,765,Mushroom Pkg (Mycelium),7.39,5.156,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,66.73,80.57,12.04,2.79,8.030231891,A,0.022448
Home Decor,2.81,1.43,9,FALSE,Road,411,Mushroom Pkg (Mycelium),2.92,0.577,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,89.07,37.9,3.95,3.08,11.51392114,A,0.007168
Clothing,0.25,0.1,2,FALSE,Road,53,Kraft Paper Mailer,0.5,0.007,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,96.96,1.43,1.63,52.56,1.05276009,C,0.00048
Clothing,0.96,1.46,3,FALSE,Road,615,Kraft Paper Mailer,1.18,0.449,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,86.61,7.17,7.18,39.39,1.198328524,C,0.007296
Clothing,0.84,1.22,5,FALSE,Air,1650,Kraft Paper Mailer,1.49,5.032,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,54.95,7.98,24.17,26.22,0.396193612,D,0.00609
Beauty,0.3,0.04,9,TRUE,Air,1108,Mushroom Pkg (Mycelium),1.92,0.831,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,85.65,5.58,5.19,3.72,1.290173162,C,0.0002
Furniture,12.4,36.48,5,FALSE,Road,1510,Wood Crate,15.59,27.542,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,45.9,27.65,26.52,13.44,1.251131175,C,0.18239
Electronics,16.29,6.59,10,TRUE,Road,531,Mushroom Pkg (Mycelium),8.52,4.325,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,67.34,84.48,11.82,3.37,8.576649021,A,0.032964
Furniture,74.57,245.34,8,FALSE,Road,2063,Wood Crate,99.74,253.068,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,11.98,46.98,43.15,8.92,1.306512137,C,1.22672
Furniture,70.84,300.67,5,FALSE,Road,2671,Wood Crate,121.27,401.545,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,5.22,29.34,46.47,13.44,0.757650081,D,1.50336
Beauty,0.67,0.21,5,TRUE,Road,275,PLA Bioplastic,1.27,0.092,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,87.05,12.17,7.37,33.25,1.981546543,B,0.001064
Clothing,0.81,1.5,5,FALSE,Road,203,Kraft Paper Mailer,1.6,0.152,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,89.85,9.24,5.45,26.22,2.03449504,B,0.007488
Electronics,0.34,0.02,8,TRUE,Air,1043,Mushroom Pkg (Mycelium),1.74,0.887,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,84.86,6.28,5.48,4.15,1.375182231,C,9.10E-05
Electronics,0.11,0,5,TRUE,Road,262,Honeycomb Paper,1.04,0.014,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,99.2,0.75,0.38,18.57,2.36841482,B,0
Furniture,19.68,6.37,10,FALSE,Road,2161,Mushroom Pkg (Mycelium),9.87,21.264,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,49.36,88.13,18.32,2.79,5.772707108,A,0.03186
Beauty,0.28,0.05,9,TRUE,Air,1054,Mushroom Pkg (Mycelium),1.91,0.738,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,86.89,5.19,4.74,3.72,1.313923773,C,0.00025
Electronics,2.17,0.13,8,TRUE,Air,2312,Mushroom Pkg (Mycelium),2.47,12.543,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,38.3,30.62,22.33,4.15,1.645499255,B,0.00064
Electronics,16.44,6.89,9,TRUE,Road,1216,Mushroom Pkg (Mycelium),8.38,9.996,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,59.06,77.96,14.81,3.72,6.316812538,A,0.03444
Electronics,2.08,0.12,7,TRUE,Road,234,Honeycomb Paper,2.23,0.243,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,84.39,17.04,7.35,13.9,2.782040438,B,0.00062
Furniture,10.76,36.09,6,FALSE,Road,54,Wood Crate,15.64,0.974,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,74.96,32.85,12.28,11.5,3.210097458,B,0.180438
Beauty,0.47,0.04,10,TRUE,Road,248,Mushroom Pkg (Mycelium),2.19,0.058,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,98.55,8.88,0.52,3.37,20.49226828,A,0.00018
Electronics,0.29,0.02,8,TRUE,Air,958,Mushroom Pkg (Mycelium),1.72,0.695,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,87.44,5.33,4.54,4.15,1.408810262,C,8.40E-05
Home Decor,1.83,1.39,9,FALSE,Road,237,Mushroom Pkg (Mycelium),2.53,0.217,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,93.77,28.31,2.25,3.08,15.09865996,A,0.006944
Beauty,0.65,0.19,4,TRUE,Air,2867,PLA Bioplastic,1.06,4.659,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,54.95,11.27,25.64,39.92,0.527457078,D,0.000931
Furniture,55.84,288.64,5,FALSE,Road,1596,Wood Crate,116.46,230.335,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,13.68,29.33,42.32,13.44,0.831663496,D,1.443204
Clothing,0.23,0.08,2,FALSE,Air,2830,Kraft Paper Mailer,0.49,1.627,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,75.75,1.3,13.01,52.56,0.119907754,E,0.000418
Furniture,10.51,37.31,6,FALSE,Road,990,Wood Crate,16.12,18.468,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,51.51,32.95,23.77,11.5,1.663441243,B,0.186543
Electronics,1.86,0.1,8,TRUE,Air,1952,Mushroom Pkg (Mycelium),2.34,9.077,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,45.2,27.64,19.83,4.15,1.672617162,B,0.000504
Electronics,0.2,0,4,TRUE,Air,1837,Corrugated Cardboard,0.88,0.919,114,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,82.92,0.62,8.78,3.99,0.084738031,E,0
Clothing,0.98,1.26,3,FALSE,Air,2681,Honeycomb Paper,1.1,8.445,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,45.73,8.64,25.57,27.92,0.40547515,D,0.0063
Home Decor,2.01,1.39,10,FALSE,Air,2067,Mushroom Pkg (Mycelium),2.8,10.387,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,42.34,31.29,20.86,2.79,1.799999914,B,0.006944
Clothing,1.28,3.65,2,TRUE,Air,1882,Kraft Paper Mailer,1.86,17.173,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,30.36,7.62,37.36,52.56,0.244753741,E,0.01824
Furniture,12.09,34.52,6,FALSE,Road,1830,Wood Crate,15.01,31.586,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,44.06,32.74,27.42,11.5,1.432822705,C,0.172575
Electronics,20.62,8.97,9,TRUE,Road,2436,Mushroom Pkg (Mycelium),10.05,25.115,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,47.07,81.57,19.15,3.72,5.111435764,A,0.04484
Furniture,14.46,37.8,4,FALSE,Road,2549,Wood Crate,15.92,48.176,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,37.89,22.32,30.45,16.15,0.879605882,C,0.189
Clothing,1.12,1.32,3,FALSE,Air,1175,Kraft Paper Mailer,1.13,3.877,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,58.14,6.73,22.46,39.39,0.359572557,E,0.0066
Furniture,18.49,4.47,10,FALSE,Road,447,Mushroom Pkg (Mycelium),9.4,4.133,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,66.95,86.93,11.96,2.79,8.722072849,A,0.022344
Electronics,0.27,0,9,TRUE,Air,857,Mushroom Pkg (Mycelium),1.91,0.578,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,89.13,4.98,3.93,3.72,1.5206103,B,0
Electronics,0.1,0,4,TRUE,Road,316,Corrugated Cardboard,0.84,0.016,114,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,98.95,0,0.54,3.99,0,E,1.60E-05
Electronics,2.49,0.12,7,TRUE,Road,770,Honeycomb Paper,2.4,0.959,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,79.47,19.03,9.67,13.9,2.361530263,B,0.00062
