Category,Weight_kg,Volumetric_Weight_kg,L_cm,W_cm,H_cm,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg,Material_ID
Beauty,0.52,0.24,19,8,8,5,True,Air,1815,PLA Bioplastic,1.21,2.36,575.0
Furniture,58.74,296.88,187,98,81,8,False,Road,1707,Wood Crate,120.35,253.387,405.0
Clothing,0.82,1.07,27,18,11,5,False,Road,121,Kraft Paper Mailer,1.43,0.065,550.0
Electronics,0.34,0.02,15,6,1,9,True,Road,705,Mushroom Pkg (Mycelium),1.94,0.12,601.0
Home Decor,1.63,1.3,15,14,31,9,False,Road,93,Mushroom Pkg (Mycelium),2.45,0.076,601.0
Furniture,12.72,33.04,56,59,50,6,False,Road,274,Wood Crate,14.42,4.526,405.0
Furniture,57.28,313.6,200,98,80,7,False,Road,895,Wood Crate,126.84,140.336,405.0
Furniture,41.6,286.43,203,85,83,8,False,Road,1984,Wood Crate,116.17,284.139,405.0
Furniture,48.42,260.58,184,97,73,5,False,Road,2559,Wood Crate,105.23,333.412,405.0
Clothing,1.96,3.57,47,38,10,2,True,Air,1643,Kraft Paper Mailer,1.83,14.664,550.0
Furniture,14.1,36.86,60,64,48,5,False,Road,1895,Wood Crate,15.74,34.925,405.0
Beauty,0.82,0.22,20,8,7,5,True,Road,440,PLA Bioplastic,1.33,0.18,575.0
Beauty,0.62,0.18,18,7,7,3,True,Road,631,PLA Bioplastic,0.85,0.196,575.0
Clothing,1.27,3.7,49,42,9,4,True,Air,1645,Kraft Paper Mailer,2.28,15.216,550.0
Clothing,1.12,1.34,28,20,12,3,False,Air,1456,Kraft Paper Mailer,1.14,4.878,550.0
Furniture,10.38,31.8,59,55,49,6,False,Road,1791,Wood Crate,13.92,28.477,405.0
Furniture,43.93,295.74,191,98,79,7,False,Road,889,Wood Crate,119.7,131.456,405.0
Furniture,12.87,5.61,92,61,5,10,False,Road,922,Mushroom Pkg (Mycelium),7.15,5.933,601.0
Beauty,0.5,0.21,21,7,7,3,True,Air,1326,PLA Bioplastic,0.8,1.658,575.0
Electronics,1.53,0.12,29,21,1,8,True,Air,2483,Mushroom Pkg (Mycelium),2.21,9.497,601.0
Clothing,1.47,3.51,45,39,10,2,True,Air,1327,Kraft Paper Mailer,1.8,11.644,550.0
Clothing,1.25,4.21,49,43,10,3,True,Air,993,Kraft Paper Mailer,2.28,10.451,550.0
Electronics,0.14,0.0,5,4,1,4,True,Road,447,Corrugated Cardboard,0.86,0.031,114.0
Clothing,1.83,3.43,53,36,9,4,True,Air,2174,Kraft Paper Mailer,2.17,18.642,550.0
Furniture,15.19,4.15,91,57,4,10,False,Road,1588,Mushroom Pkg (Mycelium),8.08,12.061,601.0
Furniture,11.12,37.46,62,57,53,6,False,Road,779,Wood Crate,16.18,14.591,405.0
Clothing,1.06,1.34,32,19,11,5,False,Air,2715,Kraft Paper Mailer,1.54,9.095,550.0
Electronics,0.27,0.02,14,6,1,6,True,Air,2492,Honeycomb Paper,1.31,1.682,602.0
Electronics,17.67,8.82,116,76,5,10,True,Road,333,Mushroom Pkg (Mycelium),9.07,2.942,601.0
Furniture,48.32,268.65,212,88,72,8,False,Road,519,Wood Crate,109.06,69.715,405.0
Furniture,19.97,5.54,99,56,5,10,False,Road,1647,Mushroom Pkg (Mycelium),9.99,16.445,601.0
Electronics,17.06,6.91,129,67,4,10,True,Road,1321,Mushroom Pkg (Mycelium),8.82,11.268,601.0
Beauty,0.67,0.22,20,7,8,5,True,Air,2440,PLA Bioplastic,1.27,4.087,575.0
Electronics,0.14,0.0,5,4,1,4,True,Road,497,Corrugated Cardboard,0.86,0.035,114.0
Furniture,17.91,5.89,92,64,5,9,False,Road,1651,Mushroom Pkg (Mycelium),8.96,14.785,601.0
Furniture,10.22,37.76,59,64,50,6,False,Road,438,Wood Crate,16.3,8.269,405.0
Electronics,0.12,0.01,5,5,1,4,True,Air,967,Corrugated Cardboard,0.85,0.29,114.0
Electronics,0.12,0.0,4,5,0,6,True,Air,2962,Honeycomb Paper,1.25,0.889,602.0
Clothing,1.01,1.22,29,21,10,5,False,Air,1492,Kraft Paper Mailer,1.49,4.551,550.0
Electronics,1.7,0.11,28,19,1,7,True,Air,2020,Honeycomb Paper,2.08,8.585,602.0
Electronics,1.5,0.11,31,18,1,8,True,Road,414,Mushroom Pkg (Mycelium),2.2,0.31,601.0
Clothing,1.69,4.21,49,43,10,3,True,Air,1119,Kraft Paper Mailer,2.28,11.777,550.0
Electronics,0.3,0.0,14,7,0,6,True,Road,404,Honeycomb Paper,1.32,0.061,602.0
Electronics,0.27,0.0,14,6,0,8,True,Air,2602,Mushroom Pkg (Mycelium),1.71,1.756,601.0
Electronics,0.21,0.02,13,6,1,6,True,Air,1294,Honeycomb Paper,1.28,0.679,602.0
Clothing,1.28,3.48,46,42,9,4,True,Air,1785,Kraft Paper Mailer,2.19,15.53,550.0
Electronics,0.11,0.0,4,4,0,6,True,Air,1708,Honeycomb Paper,1.24,0.47,602.0
Electronics,18.01,9.0,120,75,5,9,True,Road,383,Mushroom Pkg (Mycelium),9.0,3.449,601.0
Electronics,18.44,7.55,131,72,4,10,True,Road,1449,Mushroom Pkg (Mycelium),9.38,13.36,601.0
Clothing,1.18,1.3,31,19,11,3,False,Air,1552,Kraft Paper Mailer,1.12,5.044,550.0
Beauty,0.3,0.05,10,5,5,10,True,Air,1591,Mushroom Pkg (Mycelium),2.12,1.193,601.0
Clothing,0.85,1.19,30,18,11,5,False,Air,2858,Kraft Paper Mailer,1.48,8.503,550.0
Clothing,0.26,0.17,24,18,2,1,False,Air,2294,Kraft Paper Mailer,0.3,1.491,550.0
Electronics,16.22,8.89,117,76,5,10,True,Road,1927,Mushroom Pkg (Mycelium),8.49,15.628,601.0
Furniture,46.26,255.39,181,85,83,7,False,Road,2694,Wood Crate,103.56,344.01,405.0
Electronics,0.14,0.0,4,5,1,4,True,Air,1422,Corrugated Cardboard,0.86,0.498,114.0
Electronics,2.1,0.21,29,18,2,8,True,Road,643,Mushroom Pkg (Mycelium),2.44,0.675,601.0
Furniture,14.28,37.46,62,57,53,4,False,Road,222,Wood Crate,15.78,4.158,405.0
Clothing,0.99,1.3,27,20,12,3,False,Air,895,Kraft Paper Mailer,1.12,2.909,550.0
Electronics,2.32,0.12,32,19,1,9,True,Air,1167,Mushroom Pkg (Mycelium),2.73,6.769,601.0
Electronics,0.23,0.0,14,6,0,9,True,Road,74,Mushroom Pkg (Mycelium),1.89,0.009,601.0
Clothing,0.84,1.46,32,19,12,4,False,Air,1716,Kraft Paper Mailer,1.38,6.263,550.0
Furniture,11.93,37.27,58,63,51,4,False,Road,2864,Wood Crate,15.71,53.371,405.0
Home Decor,1.31,1.18,15,14,28,9,False,Air,1631,Mushroom Pkg (Mycelium),2.32,5.342,601.0
Clothing,1.05,1.3,31,19,11,3,False,Air,2737,Cornstarch Foam,1.12,8.895,368.0
Beauty,0.65,0.21,19,8,7,3,True,Air,2013,PLA Bioplastic,0.86,3.271,575.0
Electronics,15.6,6.36,112,71,4,10,True,Road,2628,Mushroom Pkg (Mycelium),8.24,20.498,601.0
Furniture,13.73,39.51,63,64,49,6,False,Road,1244,Wood Crate,17.0,24.575,405.0
Electronics,0.39,0.0,15,6,0,7,True,Air,2679,Honeycomb Paper,1.56,2.612,602.0
Furniture,58.01,283.49,201,86,82,7,False,Road,2601,Wood Crate,114.8,368.679,405.0
Furniture,41.83,273.6,190,96,75,6,False,Road,170,Wood Crate,110.64,23.256,405.0
Clothing,1.06,3.63,53,38,9,4,True,Air,1163,Kraft Paper Mailer,2.25,10.554,550.0
Electronics,22.01,8.39,115,73,5,9,True,Road,346,Mushroom Pkg (Mycelium),10.6,3.808,601.0
Clothing,1.14,3.74,52,36,10,4,True,Air,1672,Kraft Paper Mailer,2.3,15.633,550.0
Electronics,0.11,0.0,4,4,0,6,True,Air,2284,Honeycomb Paper,1.24,0.628,602.0
Furniture,16.68,5.89,109,54,5,10,False,Road,1746,Mushroom Pkg (Mycelium),8.67,14.562,601.0
Clothing,1.99,4.3,50,43,10,3,True,Air,982,Kraft Paper Mailer,2.32,10.556,550.0
Clothing,0.84,1.07,27,18,11,5,False,Road,369,Kraft Paper Mailer,1.43,0.197,550.0
Electronics,0.12,0.0,4,4,1,6,True,Road,545,Honeycomb Paper,1.25,0.033,602.0
Electronics,19.43,6.63,112,74,4,9,True,Road,414,Mushroom Pkg (Mycelium),9.57,4.022,601.0
Electronics,18.87,6.34,120,66,4,9,True,Road,2994,Mushroom Pkg (Mycelium),9.35,28.248,601.0
Beauty,0.88,0.24,21,8,7,3,True,Air,1674,PLA Bioplastic,0.95,3.683,575.0
Electronics,2.38,0.24,32,19,2,9,True,Road,419,Mushroom Pkg (Mycelium),2.75,0.499,601.0
Clothing,1.03,1.23,31,18,11,5,False,Air,1313,Kraft Paper Mailer,1.49,4.037,550.0
Clothing,0.2,0.19,24,20,2,2,False,Air,1985,Kraft Paper Mailer,0.48,0.993,550.0
Furniture,16.24,5.89,95,62,5,9,False,Road,408,Mushroom Pkg (Mycelium),8.3,3.313,601.0
Electronics,0.1,0.0,5,5,0,4,True,Air,1843,Corrugated Cardboard,0.84,0.461,114.0
Clothing,0.23,0.11,26,21,1,2,False,Air,1819,Kraft Paper Mailer,0.49,1.046,550.0
Electronics,1.97,0.24,32,19,2,7,True,Air,2284,Honeycomb Paper,2.19,11.249,602.0
Furniture,15.37,5.27,103,64,4,9,False,Road,930,Mushroom Pkg (Mycelium),7.95,7.147,601.0
Furniture,16.77,5.88,105,56,5,9,False,Road,2535,Mushroom Pkg (Mycelium),8.51,21.256,601.0
Electronics,18.98,9.29,129,72,5,9,True,Road,2117,Mushroom Pkg (Mycelium),9.39,20.09,601.0
Electronics,17.99,6.87,116,74,4,9,True,Road,2411,Mushroom Pkg (Mycelium),9.0,21.687,601.0
Electronics,19.7,7.48,128,73,4,10,True,Road,2368,Mushroom Pkg (Mycelium),9.88,23.325,601.0
Electronics,0.18,0.0,5,5,0,5,True,Air,1667,Honeycomb Paper,1.07,0.75,602.0
Furniture,61.27,262.4,200,82,80,8,False,Road,2914,Wood Crate,106.56,382.317,405.0
Home Decor,1.53,1.54,15,16,32,10,False,Air,2391,Mushroom Pkg (Mycelium),2.62,9.205,601.0
Clothing,0.29,0.09,22,21,1,1,False,Air,891,Kraft Paper Mailer,0.32,0.646,550.0
Home Decor,1.06,1.21,13,15,31,10,False,Air,1859,Mushroom Pkg (Mycelium),2.48,5.623,601.0
Clothing,0.25,0.09,23,20,1,1,False,Air,2774,Kraft Paper Mailer,0.3,1.734,550.0
Home Decor,1.19,1.22,14,15,29,10,False,Air,2254,Mushroom Pkg (Mycelium),2.49,6.875,601.0
Beauty,0.48,0.04,9,5,4,9,True,Air,855,Mushroom Pkg (Mycelium),1.99,1.026,601.0
Electronics,21.69,8.44,126,67,5,9,True,Road,1530,Mushroom Pkg (Mycelium),10.48,16.593,601.0
Beauty,0.7,0.2,18,7,8,5,True,Road,450,PLA Bioplastic,1.28,0.158,575.0
Electronics,0.18,0.0,4,5,0,5,True,Air,1118,Honeycomb Paper,1.07,0.503,602.0
Electronics,0.33,0.02,13,6,1,8,True,Air,1872,Mushroom Pkg (Mycelium),1.73,1.544,601.0
Electronics,0.13,0.0,5,5,0,4,True,Air,1771,Corrugated Cardboard,0.85,0.576,114.0
Clothing,0.29,0.1,25,20,1,1,False,Air,2687,Kraft Paper Mailer,0.32,1.948,550.0
Home Decor,2.81,1.44,15,15,32,9,False,Road,324,Mushroom Pkg (Mycelium),2.92,0.455,601.0
Electronics,19.24,6.09,112,68,4,10,True,Road,2835,Mushroom Pkg (Mycelium),9.7,27.273,601.0
Electronics,21.45,8.64,120,72,5,9,True,Road,1784,Mushroom Pkg (Mycelium),10.38,19.133,601.0
Beauty,0.44,0.04,10,4,5,9,True,Road,470,Mushroom Pkg (Mycelium),1.98,0.103,601.0
Electronics,0.11,0.0,4,5,1,5,True,Air,882,Honeycomb Paper,1.04,0.243,602.0
Electronics,2.21,0.13,32,21,1,7,True,Road,479,Honeycomb Paper,2.28,0.529,602.0
Furniture,13.99,33.81,55,58,53,5,False,Road,462,Wood Crate,14.52,7.81,405.0
Electronics,0.23,0.02,14,7,1,7,True,Air,1868,Honeycomb Paper,1.49,1.074,602.0
Clothing,1.18,1.13,27,19,11,4,False,Road,170,Kraft Paper Mailer,1.27,0.1,550.0
Electronics,0.15,0.0,4,4,0,6,True,Air,1258,Honeycomb Paper,1.26,0.472,602.0
Furniture,15.43,5.27,108,61,4,9,False,Road,1269,Bubble Wrap (LDPE),7.97,9.79,34.0
Electronics,0.11,0.0,4,5,1,5,True,Road,304,Honeycomb Paper,1.04,0.017,602.0
Electronics,23.9,6.93,110,63,5,10,True,Road,809,Mushroom Pkg (Mycelium),11.56,9.668,601.0
Furniture,12.88,33.34,63,54,49,5,False,Road,511,Wood Crate,14.34,8.518,405.0
Home Decor,2.11,1.22,15,14,29,9,False,Air,2855,Mushroom Pkg (Mycelium),2.64,15.06,601.0
Furniture,55.12,314.19,206,93,82,6,False,Road,2616,Wood Crate,126.88,410.961,405.0
Clothing,0.15,0.21,27,19,2,2,False,Air,1610,Kraft Paper Mailer,0.48,0.845,550.0
Electronics,2.35,0.12,32,18,1,9,True,Air,1718,Mushroom Pkg (Mycelium),2.74,10.093,601.0
Furniture,18.81,4.37,91,60,4,9,False,Road,1165,Mushroom Pkg (Mycelium),9.32,10.957,601.0
Electronics,0.2,0.02,14,7,1,7,True,Road,435,Honeycomb Paper,1.48,0.044,602.0
Furniture,40.92,284.9,202,86,82,6,False,Road,137,Wood Crate,115.16,19.516,405.0
Clothing,1.32,3.38,47,36,10,4,True,Air,1238,Kraft Paper Mailer,2.15,10.461,550.0
Electronics,2.44,0.12,29,20,1,7,True,Road,664,Honeycomb Paper,2.38,0.81,602.0
Beauty,0.73,0.18,18,7,7,5,True,Air,1656,PLA Bioplastic,1.29,3.022,575.0
Beauty,0.23,0.04,10,4,5,8,True,Air,2830,Mushroom Pkg (Mycelium),1.69,1.627,601.0
Electronics,18.32,7.8,113,69,5,10,True,Road,590,Mushroom Pkg (Mycelium),9.33,5.404,601.0
Furniture,43.53,275.37,193,87,82,8,False,Road,1417,Wood Crate,111.75,195.1,405.0
Beauty,0.78,0.18,18,7,7,3,True,Air,864,PLA Bioplastic,0.91,1.685,575.0
Electronics,0.17,0.0,4,5,0,6,True,Air,2906,Honeycomb Paper,1.27,1.235,602.0
Clothing,1.2,3.35,49,38,9,4,True,Air,1157,Kraft Paper Mailer,2.14,9.69,550.0
Clothing,0.92,1.61,32,21,12,3,False,Road,119,Kraft Paper Mailer,1.24,0.096,550.0
Home Decor,1.82,1.25,13,15,32,10,False,Air,1146,Mushroom Pkg (Mycelium),2.73,5.214,601.0
Clothing,1.14,1.25,30,19,11,3,False,Air,967,Kraft Paper Mailer,1.1,3.022,550.0
Clothing,1.21,3.38,47,36,10,4,True,Road,542,Kraft Paper Mailer,2.15,0.916,550.0
Beauty,0.96,0.2,20,7,7,3,True,Air,1770,PLA Bioplastic,0.98,4.248,575.0
Beauty,0.21,0.05,10,5,5,9,True,Air,2049,Mushroom Pkg (Mycelium),1.88,1.076,601.0
Electronics,0.39,0.02,13,7,1,9,True,Road,274,Mushroom Pkg (Mycelium),1.96,0.053,601.0
Clothing,1.72,3.54,48,41,9,4,True,Air,1489,Kraft Paper Mailer,2.22,13.178,550.0
Clothing,0.19,0.09,22,21,1,2,False,Air,1532,Kraft Paper Mailer,0.48,0.728,550.0
Furniture,18.86,5.48,107,64,4,10,False,Road,1945,Mushroom Pkg (Mycelium),9.54,18.341,601.0
Beauty,0.46,0.04,9,5,4,9,True,Road,693,Mushroom Pkg (Mycelium),1.98,0.159,601.0
Clothing,1.06,1.25,27,21,11,5,False,Air,1447,Kraft Paper Mailer,1.5,4.522,550.0
Home Decor,2.87,1.22,14,15,29,10,False,Air,2794,Mushroom Pkg (Mycelium),3.15,20.047,601.0
Clothing,0.87,1.19,27,20,11,5,False,Air,2433,Kraft Paper Mailer,1.48,7.238,550.0
Beauty,0.33,0.04,9,5,4,10,True,Air,1169,Cornstarch Foam,2.13,0.964,368.0
Beauty,0.64,0.26,20,8,8,3,True,Road,453,PLA Bioplastic,0.86,0.145,575.0
Clothing,1.81,3.79,54,39,9,2,True,Air,2274,Kraft Paper Mailer,1.92,21.546,550.0
Furniture,76.89,284.51,197,83,87,7,False,Road,74,Wood Crate,115.2,10.527,405.0
Electronics,24.95,6.36,112,71,4,9,True,Road,2486,PLA Bioplastic,11.78,31.013,575.0
Home Decor,1.05,1.22,15,14,29,9,False,Air,1372,Mushroom Pkg (Mycelium),2.29,4.185,601.0
Electronics,24.05,8.78,131,67,5,9,True,Road,905,Mushroom Pkg (Mycelium),11.42,10.883,601.0
Clothing,0.16,0.18,23,20,2,2,False,Air,2639,Kraft Paper Mailer,0.47,1.188,550.0
Furniture,14.25,6.08,95,64,5,10,False,Road,1388,Mushroom Pkg (Mycelium),7.7,9.889,601.0
Electronics,0.31,0.0,16,7,0,6,True,Air,1728,Honeycomb Paper,1.32,1.339,602.0
Clothing,1.17,1.23,31,18,11,5,False,Road,220,Kraft Paper Mailer,1.49,0.135,550.0
Furniture,14.42,6.45,104,62,5,10,False,Road,921,Mushroom Pkg (Mycelium),7.77,6.64,601.0
Electronics,18.29,6.28,109,72,4,10,True,Road,263,Mushroom Pkg (Mycelium),9.32,2.405,601.0
Clothing,1.29,3.6,50,36,10,4,True,Road,275,Kraft Paper Mailer,2.24,0.495,550.0
Beauty,0.87,0.19,19,7,7,3,True,Air,2410,PLA Bioplastic,0.95,5.242,575.0
Furniture,13.87,32.57,63,55,47,6,False,Road,374,Wood Crate,14.23,6.091,405.0
Clothing,1.15,1.46,32,19,12,5,False,Air,802,Kraft Paper Mailer,1.58,2.927,550.0
Home Decor,1.87,1.22,15,15,27,9,False,Air,975,Mushroom Pkg (Mycelium),2.55,4.558,601.0
Furniture,14.53,5.58,93,60,5,10,False,Road,222,Mushroom Pkg (Mycelium),7.81,1.613,601.0
Beauty,0.55,0.18,18,7,7,5,True,Air,1711,PLA Bioplastic,1.22,2.353,575.0
Electronics,0.25,0.0,15,7,0,7,True,Air,1043,Honeycomb Paper,1.5,0.652,602.0
Electronics,0.12,0.0,4,5,0,6,True,Air,2307,Honeycomb Paper,1.25,0.692,602.0
Beauty,0.33,0.03,9,4,4,10,True,Road,448,Mushroom Pkg (Mycelium),2.13,0.074,601.0
Home Decor,1.84,1.3,14,16,29,10,False,Road,717,Styrofoam (EPS),2.74,0.66,105.0
Clothing,0.24,0.17,23,19,2,2,False,Air,2852,Kraft Paper Mailer,0.5,1.711,550.0
Furniture,14.52,37.09,64,63,46,5,False,Road,1394,Wood Crate,15.84,25.852,405.0
Electronics,0.12,0.0,4,4,0,5,True,Air,2874,Honeycomb Paper,1.05,0.862,602.0
Electronics,0.37,0.02,14,6,1,6,True,Air,2121,Honeycomb Paper,1.35,1.962,602.0
Electronics,2.38,0.1,28,18,1,8,True,Air,2815,Mushroom Pkg (Mycelium),2.55,16.749,601.0
Home Decor,2.56,1.3,16,14,29,9,False,Air,2620,Mushroom Pkg (Mycelium),2.82,16.768,601.0
Clothing,0.26,0.09,24,18,1,1,False,Air,1452,Kraft Paper Mailer,0.3,0.944,550.0
Electronics,2.46,0.11,30,19,1,7,True,Air,918,Honeycomb Paper,2.38,5.646,602.0
Furniture,12.3,37.94,60,62,51,4,False,Road,919,Wood Crate,15.98,17.433,405.0
Electronics,2.29,0.26,32,20,2,9,True,Air,2525,Mushroom Pkg (Mycelium),2.72,14.456,601.0
Electronics,1.98,0.13,32,21,1,8,True,Road,132,Mushroom Pkg (Mycelium),2.39,0.131,601.0
Electronics,2.03,0.13,30,21,1,9,True,Road,61,Mushroom Pkg (Mycelium),2.61,0.062,601.0
Clothing,0.98,1.39,30,21,11,3,False,Air,2227,Wood Crate,1.16,7.739,405.0
Furniture,74.45,319.68,218,94,78,7,False,Road,1270,Wood Crate,129.27,202.997,405.0
Clothing,1.88,3.33,45,37,10,3,True,Air,1752,Kraft Paper Mailer,1.93,14.585,550.0
Clothing,1.23,3.4,51,37,9,4,True,Air,2348,Recycled PET Box,2.16,19.958,320.0
Beauty,0.62,0.2,20,7,7,4,True,Road,698,PLA Bioplastic,1.05,0.216,575.0
Beauty,0.3,0.03,10,4,4,10,True,Air,1784,Mushroom Pkg (Mycelium),2.12,1.338,601.0
Beauty,0.3,0.03,9,4,4,10,True,Air,819,Mushroom Pkg (Mycelium),2.12,0.614,601.0
Home Decor,2.03,1.09,13,14,30,9,False,Air,1964,Mushroom Pkg (Mycelium),2.61,9.967,601.0
Home Decor,1.48,1.25,13,15,32,10,False,Road,233,Mushroom Pkg (Mycelium),2.59,0.172,601.0
Furniture,17.63,4.74,94,63,4,9,False,Road,778,Mushroom Pkg (Mycelium),8.85,6.858,601.0
Clothing,1.05,1.2,30,20,10,3,False,Air,2253,Kraft Paper Mailer,1.08,6.759,550.0
Electronics,20.86,7.1,111,64,5,9,True,Road,2140,Mushroom Pkg (Mycelium),10.14,22.32,601.0
Furniture,16.29,6.12,102,60,5,9,False,Road,1312,Mushroom Pkg (Mycelium),8.32,10.686,601.0
Beauty,0.26,0.05,10,5,5,9,True,Road,122,Mushroom Pkg (Mycelium),1.9,0.016,601.0
Electronics,1.78,0.27,32,21,2,8,True,Air,965,Mushroom Pkg (Mycelium),2.31,4.294,601.0
Furniture,12.42,5.49,98,56,5,10,False,Road,2983,Mushroom Pkg (Mycelium),6.97,18.524,601.0
Clothing,0.2,0.2,24,21,2,2,False,Air,2412,Kraft Paper Mailer,0.48,1.206,550.0
Clothing,0.22,0.1,25,21,1,2,False,Road,749,Kraft Paper Mailer,0.49,0.082,550.0
Clothing,1.01,1.19,30,18,11,5,False,Air,1993,Kraft Paper Mailer,1.48,5.929,550.0
Clothing,0.23,0.09,26,18,1,2,False,Air,1100,Kraft Paper Mailer,0.49,0.633,550.0
Furniture,46.34,273.72,216,88,72,6,False,Road,678,Wood Crate,110.69,92.791,405.0
Home Decor,1.14,1.22,14,14,31,10,False,Road,409,Mushroom Pkg (Mycelium),2.49,0.249,601.0
Beauty,0.36,0.03,10,4,4,10,True,Air,1338,Mushroom Pkg (Mycelium),2.14,1.204,601.0
Furniture,12.48,35.9,64,55,51,6,False,Road,1640,Wood Crate,15.56,29.438,405.0
Beauty,0.69,0.2,18,7,8,5,True,Air,1158,PLA Bioplastic,1.28,1.998,575.0
Furniture,13.85,32.46,63,56,46,6,False,Road,284,Wood Crate,14.18,4.609,405.0
Electronics,2.21,0.2,28,18,2,8,True,Road,785,Mushroom Pkg (Mycelium),2.48,0.867,601.0
Electronics,0.13,0.0,5,4,0,6,True,Air,1792,Honeycomb Paper,1.25,0.582,602.0
Furniture,14.81,39.78,65,60,51,4,False,Road,812,Wood Crate,16.71,16.151,405.0
Clothing,1.64,3.99,54,41,9,4,True,Air,2662,Kraft Paper Mailer,2.4,26.553,550.0
Furniture,13.52,5.56,103,54,5,9,False,Road,2707,Mushroom Pkg (Mycelium),7.21,18.299,601.0
Electronics,0.31,0.0,15,7,0,7,True,Air,2223,Honeycomb Paper,1.52,1.723,602.0
Clothing,1.0,1.36,27,21,12,5,False,Road,294,Kraft Paper Mailer,1.54,0.2,550.0
Furniture,16.52,4.42,92,60,4,10,False,Road,539,Mushroom Pkg (Mycelium),8.61,4.452,601.0
Beauty,0.62,0.18,18,7,7,3,True,Air,1643,PLA Bioplastic,0.85,2.547,575.0
Beauty,0.32,0.05,10,5,5,10,True,Air,1589,Mushroom Pkg (Mycelium),2.13,1.271,601.0
Furniture,61.29,284.91,207,93,74,5,False,Road,222,Wood Crate,114.96,31.625,405.0
Clothing,1.56,4.13,53,39,10,3,True,Air,2102,Kraft Paper Mailer,2.25,21.703,550.0
Furniture,15.61,4.69,93,63,4,10,False,Road,2582,Mushroom Pkg (Mycelium),8.24,20.153,601.0
Beauty,0.42,0.04,9,4,5,8,True,Road,232,Mushroom Pkg (Mycelium),1.77,0.049,601.0
Clothing,1.73,3.49,51,38,9,4,True,Road,635,Kraft Paper Mailer,2.2,1.108,550.0
Electronics,2.27,0.12,29,21,1,7,True,Road,105,Honeycomb Paper,2.31,0.119,602.0
Home Decor,2.41,1.22,15,14,29,10,False,Air,973,Mushroom Pkg (Mycelium),2.96,5.862,601.0
Furniture,19.49,4.7,103,57,4,9,False,Road,2297,Mushroom Pkg (Mycelium),9.6,22.384,601.0
Furniture,16.28,5.17,94,55,5,9,False,Road,1079,Mushroom Pkg (Mycelium),8.31,8.783,601.0
Electronics,18.9,6.96,116,75,4,9,True,Road,2658,Mushroom Pkg (Mycelium),9.36,25.118,601.0
Electronics,0.19,0.0,4,5,0,4,True,Air,2968,Corrugated Cardboard,0.88,1.41,114.0
Furniture,53.4,296.06,215,81,85,6,False,Road,1012,Wood Crate,119.62,149.806,405.0
Clothing,0.81,1.23,31,18,11,4,False,Road,131,Kraft Paper Mailer,1.29,0.081,550.0
Beauty,0.32,0.04,9,5,5,10,True,Air,1350,Mushroom Pkg (Mycelium),2.13,1.08,601.0
Beauty,0.87,0.24,21,8,7,4,True,Road,391,PLA Bioplastic,1.15,0.17,575.0
Electronics,22.58,6.0,119,63,4,9,True,Road,2596,Mushroom Pkg (Mycelium),10.83,29.309,601.0
Electronics,0.4,0.02,13,6,1,9,True,Air,2572,Mushroom Pkg (Mycelium),1.96,2.572,601.0
Clothing,1.04,1.11,28,18,11,5,False,Road,631,Kraft Paper Mailer,1.44,0.35,550.0
Electronics,15.68,8.57,126,68,5,10,True,Road,1174,Mushroom Pkg (Mycelium),8.27,9.204,601.0
Beauty,0.32,0.04,10,4,5,9,True,Air,2857,Mushroom Pkg (Mycelium),1.93,2.286,601.0
Beauty,0.49,0.03,10,4,4,8,True,Air,2508,Mushroom Pkg (Mycelium),1.8,3.072,601.0
Electronics,0.39,0.0,13,7,0,9,True,Road,154,Mushroom Pkg (Mycelium),1.96,0.03,601.0
Electronics,2.18,0.22,29,19,2,8,True,Air,1293,Mushroom Pkg (Mycelium),2.47,7.047,601.0
Furniture,13.18,4.49,92,61,4,10,False,Road,1476,Mushroom Pkg (Mycelium),7.27,9.727,601.0
Electronics,21.1,7.87,123,64,5,9,True,Road,2393,Mushroom Pkg (Mycelium),10.24,25.246,601.0
Electronics,0.12,0.01,5,5,1,5,True,Air,1196,Honeycomb Paper,1.05,0.359,602.0
Electronics,17.15,9.5,125,76,5,9,True,Road,1225,Mushroom Pkg (Mycelium),8.66,10.504,601.0
Beauty,0.81,0.22,20,8,7,3,True,Air,2560,PLA Bioplastic,0.92,5.184,575.0
Electronics,2.41,0.23,30,19,2,9,True,Air,2498,Mushroom Pkg (Mycelium),2.76,15.05,601.0
Electronics,0.33,0.0,16,6,0,9,True,Air,1710,Styrofoam (EPS),1.93,1.411,105.0
Clothing,1.2,1.61,32,21,12,3,False,Air,1454,Kraft Paper Mailer,1.24,5.852,550.0
Furniture,11.57,36.89,61,56,54,6,False,Road,1608,Wood Crate,15.96,29.66,405.0
Beauty,0.62,0.18,18,7,7,4,True,Air,2288,PLA Bioplastic,1.05,3.546,575.0
Home Decor,1.97,1.34,14,15,32,9,False,Road,750,Mushroom Pkg (Mycelium),2.59,0.739,601.0
Furniture,14.92,38.06,57,63,53,4,False,Road,1103,Wood Crate,16.02,20.99,405.0
Clothing,0.16,0.11,27,21,1,1,False,Air,1782,Bubble Wrap (LDPE),0.26,0.713,34.0
Home Decor,2.59,1.13,15,14,27,10,False,Air,2006,Mushroom Pkg (Mycelium),3.04,12.989,601.0
