Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Thickness_Micrometers,Thermal_Stability_C,Biodegradability_Score,Recyclability_Percentage,CO2_Emission_Score,Environmental_Impact_Score
PLA (Polylactic Acid),41.4,95.17,213.05,204.12,53.1,52.63,70.5,34.79
Coconut Coir Composite,92.6,47.25,23.01,182.68,95.33,62.28,74.59,59.36
Seaweed/Kelp-based Polymer,29.63,111.44,140.83,176.89,78.42,74.99,98.13,84.61
Jute Fiber Composite,64.92,114.75,167.81,194.26,93.76,75.34,82.08,62.5
Cellulose Acetate,35.57,40.91,21.02,212.93,94.43,71.7,63.95,73.95
Natural Fiber Composite,75.26,34.18,223.93,183.81,73.64,51.93,85.77,24.76
Recycled PP,18.37,123.42,238.67,168.8,76.61,96.42,63.62,66.6
Polyhydroxyvalerate (PHV),92.64,112.1,158.94,151.65,72.25,58.65,69.74,59.59
Polybutylene Adipate Terephthalate (PBAT),46.95,114.73,42.5,159.25,73.85,46.75,64.62,83.5
Recycled PP,27.68,114.0,234.12,191.36,95.02,69.71,65.42,54.05
Polybutylene Adipate Terephthalate (PBAT),13.29,77.61,204.18,237.17,89.94,82.93,54.41,90.46
Thermoplastic Starch (TPS),21.81,88.66,21.71,165.38,58.51,32.83,94.54,52.33
Natural Fiber Composite,52.8,77.99,151.1,151.09,81.49,50.79,67.76,29.06
Maleic Anhydride Grafted (MAG) Polymers,36.61,25.82,41.92,187.11,99.81,88.1,58.16,84.86
Blended Starch,80.16,99.13,48.15,208.52,80.79,66.48,58.18,52.3
Cellulose Acetate,44.93,73.77,60.24,185.39,89.83,59.78,79.67,40.54
Jute Fiber Composite,28.8,88.8,108.1,187.01,89.03,95.3,99.68,42.87
PLA (Polylactic Acid),61.42,73.48,220.95,180.56,69.14,38.09,60.84,93.26
Chitosan,69.35,72.34,22.3,197.07,70.16,73.86,58.76,52.72
Polybutylene Fumarate (PBF),21.57,38.55,176.96,220.25,86.89,55.27,74.27,48.85
Polyhydroxyvalerate (PHV),21.62,49.84,241.67,235.89,76.25,36.82,80.0,77.51
Maleic Anhydride Grafted (MAG) Polymers,10.03,37.18,165.69,200.41,79.6,46.53,67.68,56.97
Cork Composite,71.97,41.07,206.67,198.54,86.36,74.7,68.06,74.5
Blended Starch,65.55,123.15,226.92,223.94,89.43,33.92,73.64,67.26
Recycled PP,48.8,36.58,182.98,169.11,65.4,72.27,68.59,90.98
Maleic Anhydride Grafted (MAG) Polymers,81.51,48.84,170.06,204.85,59.47,97.07,96.12,84.28
Seaweed/Kelp-based Polymer,78.11,82.77,19.22,226.57,66.36,86.07,56.12,26.05
Recycled LDPE,58.6,84.84,136.94,154.41,76.61,55.5,64.94,91.72
Recycled LDPE,83.65,36.67,125.27,175.86,68.75,41.4,91.23,66.15
PLA (Polylactic Acid),25.0,104.22,137.84,190.68,79.5,63.62,92.4,44.21
Chitosan,16.69,103.32,116.63,164.47,55.04,58.72,59.31,85.13
Bagasse Fiber Composite,30.66,45.47,228.04,211.44,76.71,98.08,98.8,77.26
Coconut Coir Composite,11.83,50.89,223.92,201.72,69.98,99.31,85.96,32.86
Mycelium-based Material,53.8,119.45,44.54,158.62,77.9,59.92,66.68,30.16
Hemp Fiber Composite,89.7,107.59,140.23,232.86,72.57,42.12,75.09,83.87
Polybutylene Fumarate (PBF),10.26,94.09,240.5,204.16,66.0,93.92,67.81,73.08
Recycled HDPE,17.59,29.09,155.69,204.2,95.45,85.96,61.07,42.53
Alginate,46.81,64.57,203.39,218.75,61.28,66.77,67.54,46.87
Bagasse Fiber Composite,89.46,79.47,102.74,231.14,84.86,56.84,80.77,64.02
PLA (Polylactic Acid),34.77,40.2,103.65,192.18,96.42,62.48,92.03,62.02
Polycaprolactone (PCL),51.69,67.74,91.54,203.9,78.09,93.33,70.85,68.96
Polylactic Acid (PLA) Blends,10.46,83.87,20.13,151.22,94.13,44.56,70.13,68.83
Seaweed/Kelp-based Polymer,19.91,54.98,232.34,178.7,58.43,86.86,75.63,35.47
Seaweed/Kelp-based Polymer,94.13,102.87,97.17,150.31,75.95,33.24,83.72,68.93
Coconut Coir Composite,92.22,109.15,101.27,177.55,74.21,94.6,88.62,36.06
Polycaprolactone (PCL),7.22,54.58,193.49,206.61,52.89,66.02,69.17,24.93
Polylactic Acid (PLA) Blends,91.04,108.96,138.82,189.88,73.55,47.42,81.05,69.57
Starch-based Polymer,63.36,31.35,100.08,182.44,70.03,32.19,72.03,92.84
Hemp Fiber Composite,83.62,108.87,222.65,237.27,84.32,70.05,87.01,28.44
Recycled HDPE,47.04,36.54,208.96,207.55,97.07,48.63,61.74,85.1
PHA (Polyhydroxyalkanoates),52.43,29.17,244.55,180.12,56.58,74.93,65.97,42.86
Maleic Anhydride Grafted (MAG) Polymers,50.06,88.18,165.64,191.76,68.06,51.12,73.71,80.74
Recycled PET (rPET),65.82,70.24,177.17,182.34,73.59,37.99,94.94,62.41
Coconut Coir Composite,19.14,116.27,91.26,162.97,74.12,66.34,80.46,83.95
PLA (Polylactic Acid),9.43,58.76,38.4,182.56,89.3,70.39,98.42,30.18
Polylactic Acid (PLA) Blends,34.04,50.73,39.89,224.72,73.56,62.78,58.93,43.83
Bagasse Fiber Composite,69.17,73.28,166.8,193.78,53.79,63.15,75.28,61.68
Recycled HDPE,24.65,68.55,41.62,161.03,86.23,72.1,73.39,55.37
Recycled LDPE,66.4,56.78,228.06,226.45,94.53,67.79,81.69,49.74
Hemp Fiber Composite,92.65,93.66,180.41,168.61,76.91,41.01,91.39,38.7
Nano-cellulose Composite,15.09,100.61,68.16,210.69,80.1,45.4,92.74,46.69
PHA (Polyhydroxyalkanoates),66.33,110.48,80.61,152.53,60.24,41.64,84.89,72.99
Nano-cellulose Composite,46.07,123.13,181.84,205.18,62.98,79.14,83.58,71.87
Seaweed/Kelp-based Polymer,83.64,48.57,208.67,152.85,63.67,67.94,97.67,49.15
Polybutylene Succinate (PBS),22.46,96.02,212.27,203.5,72.96,61.23,71.77,62.86
Polybutylene Fumarate (PBF),68.1,62.04,156.24,238.89,96.59,86.29,92.34,32.24
Polybutylene Adipate Terephthalate (PBAT),80.98,91.9,51.48,183.27,77.28,54.15,96.4,76.72
PHA (Polyhydroxyalkanoates),90.41,70.67,207.31,201.44,61.62,70.63,76.71,69.56
Blended Starch,67.27,125.34,201.04,222.56,65.14,37.06,87.59,78.94
Cellulose Acetate,50.79,97.37,211.31,229.33,70.74,82.62,71.47,71.56
Mycelium-based Material,61.48,120.98,52.05,194.88,82.1,79.27,61.48,40.93
Recycled PP,83.7,108.57,175.82,186.21,73.4,86.56,81.06,37.76
Recycled PET (rPET),57.3,115.75,240.66,207.93,71.14,92.14,63.2,35.44
Jute Fiber Composite,9.47,106.4,75.17,177.88,79.32,83.55,75.16,83.62
Coconut Coir Composite,89.2,68.89,183.43,230.89,63.99,89.43,94.18,35.52
PHA (Polyhydroxyalkanoates),67.82,47.0,75.85,239.47,56.25,55.5,58.14,28.86
PHA (Polyhydroxyalkanoates),66.67,59.51,87.17,168.16,53.66,55.35,55.59,26.2
Polyhydroxyvalerate (PHV),25.87,22.55,129.04,215.17,64.43,96.21,81.98,86.51
Polyhydroxyvalerate (PHV),65.11,75.74,225.31,238.1,56.85,94.19,69.36,76.44
Starch-based Polymer,41.65,73.74,24.09,210.07,68.48,69.3,73.34,46.93
Cork Composite,64.43,75.87,247.57,168.37,89.21,56.93,72.78,65.57
Coconut Coir Composite,16.22,123.26,196.44,173.9,86.52,90.89,58.17,92.86
Polybutylene Adipate Terephthalate (PBAT),65.02,116.65,99.55,171.74,81.52,53.99,54.36,44.22
Cork Composite,95.26,37.49,98.23,176.49,92.99,42.45,95.35,91.68
Coconut Coir Composite,11.05,59.36,128.5,225.37,65.9,75.49,64.18,40.64
Maleic Anhydride Grafted (MAG) Polymers,93.29,65.18,220.74,221.62,94.54,34.9,73.71,47.33
Jute Fiber Composite,42.8,58.48,19.21,205.06,71.46,57.78,98.71,68.17
PLA (Polylactic Acid),83.87,104.72,143.84,163.88,71.54,86.92,92.07,61.2
Polybutylene Succinate (PBS),76.04,75.74,28.18,203.02,71.75,52.07,59.14,50.17
Hemp Fiber Composite,56.98,80.82,42.17,151.67,57.16,95.33,77.49,75.18
Paper-based Composite,72.15,110.48,177.31,156.49,98.84,97.0,87.64,63.16
Hemp Fiber Composite,84.55,105.51,70.06,151.4,59.08,87.48,86.19,48.68
Polybutylene Succinate (PBS),42.56,34.37,24.77,234.04,68.69,99.16,89.05,73.63
Polyhydroxyvalerate (PHV),35.73,95.79,53.6,203.95,67.67,68.09,75.15,62.6
Paper-based Composite,65.88,66.39,64.03,238.98,56.05,70.71,62.26,79.85
Recycled PET (rPET),78.3,51.52,195.9,215.31,59.73,88.86,75.49,44.21
Gelatin,74.27,25.69,161.86,228.88,54.63,65.51,83.87,44.32
Natural Fiber Composite,77.41,71.86,187.75,156.39,66.39,59.66,82.07,54.82
PLA (Polylactic Acid),45.34,57.94,101.91,231.76,93.67,73.8,57.43,87.73
Polybutylene Fumarate (PBF),79.18,46.97,41.59,207.73,68.62,76.72,57.17,63.86
Recycled PET (rPET),17.42,93.76,204.24,185.32,58.38,83.06,98.41,75.8
Recycled PET (rPET),54.98,101.66,48.0,186.22,83.17,77.44,61.15,61.24
Recycled PP,7.29,46.26,104.93,244.79,99.84,82.71,67.69,35.28
Polybutylene Fumarate (PBF),35.52,25.63,76.64,244.56,63.54,77.87,89.36,67.28
Alginate,39.22,110.03,84.69,219.69,65.78,64.67,72.96,84.11
Maleic Anhydride Grafted (MAG) Polymers,41.85,21.46,156.44,229.41,98.66,41.18,62.51,68.29
Bagasse Fiber Composite,68.35,119.36,53.62,224.85,60.99,85.41,75.6,34.46
Maleic Anhydride Grafted (MAG) Polymers,41.18,86.68,119.78,228.03,76.78,34.09,80.26,68.78
Poly(3-hydroxybutyrate) (PHB),46.5,54.39,165.09,221.5,63.88,99.49,74.94,41.88
Hemp Fiber Composite,27.81,46.44,219.19,157.38,96.79,88.34,96.29,62.84
Coconut Coir Composite,39.82,21.36,102.24,212.66,99.12,77.62,67.24,59.99
Alginate,26.9,45.27,89.89,208.55,91.2,97.73,84.49,47.24
Poly(3-hydroxybutyrate) (PHB),13.26,34.95,101.44,186.29,67.45,73.65,59.34,58.95
Polybutylene Adipate Terephthalate (PBAT),60.2,85.05,132.69,175.07,71.67,35.84,72.17,21.48
Cork Composite,65.94,38.0,88.58,217.73,64.01,70.04,88.14,91.46
Bagasse Fiber Composite,61.62,76.23,73.86,150.17,94.81,50.85,64.5,79.87
Polybutylene Adipate Terephthalate (PBAT),47.81,82.72,103.2,198.37,95.94,57.12,81.21,28.46
Polybutylene Adipate Terephthalate (PBAT),40.4,51.88,197.79,157.98,72.4,63.25,61.23,42.02
Jute Fiber Composite,83.21,24.11,74.41,159.21,83.69,84.67,58.9,70.74
Seaweed/Kelp-based Polymer,52.73,24.34,213.49,200.05,60.36,66.2,78.16,64.92
Paper-based Composite,49.2,23.19,82.0,221.08,73.16,64.28,85.12,43.24
Chitosan,9.05,98.45,156.72,202.89,82.5,52.53,59.39,31.61
Polycaprolactone (PCL),36.99,53.99,243.18,202.35,70.81,68.71,96.23,88.66
Polybutylene Adipate Terephthalate (PBAT),40.44,104.49,238.67,157.7,69.49,48.89,64.54,28.38
Nano-cellulose Composite,42.09,66.0,117.14,221.19,52.55,49.75,59.69,35.99
PHA (Polyhydroxyalkanoates),58.14,68.24,30.87,169.05,90.7,83.49,63.48,65.32
Maleic Anhydride Grafted (MAG) Polymers,54.02,74.57,227.12,193.11,94.74,55.29,61.97,53.34
Chitosan,60.6,95.7,44.83,230.14,98.55,35.5,58.35,43.98
Recycled PET (rPET),74.5,49.29,232.03,247.51,86.67,55.37,90.74,86.3
Jute Fiber Composite,78.75,33.25,187.17,213.27,78.57,75.42,76.9,41.74
Gelatin,70.36,79.12,234.55,203.95,65.29,87.35,71.99,76.05
Cork Composite,91.37,54.94,171.37,214.96,99.97,97.41,97.74,29.79
Chitosan,8.39,67.13,248.85,209.52,80.51,82.74,71.19,55.34
Recycled HDPE,24.11,88.72,124.75,231.8,84.85,61.16,61.85,54.93
Polybutylene Fumarate (PBF),7.45,72.58,92.46,243.38,84.91,52.34,66.75,61.85
Alginate,64.1,85.91,107.43,173.73,92.65,40.81,65.14,78.49
Maleic Anhydride Grafted (MAG) Polymers,86.28,77.87,97.32,173.79,52.96,74.68,77.04,20.82
Recycled HDPE,28.34,98.53,109.19,244.01,62.96,66.67,67.55,86.93
Seaweed/Kelp-based Polymer,88.85,94.95,223.02,197.74,84.11,78.08,77.84,86.64
Polyhydroxyvalerate (PHV),12.12,76.82,154.13,225.75,95.02,48.13,84.85,35.15
Recycled PET (rPET),89.51,92.1,185.54,192.4,85.05,54.01,89.8,37.83
Gelatin,37.91,112.65,82.65,228.77,72.14,51.86,86.73,84.16
Thermoplastic Starch (TPS),15.76,66.05,247.62,160.94,69.67,86.24,63.62,73.77
Nano-cellulose Composite,49.79,63.99,80.97,151.14,87.55,43.64,59.51,64.01
Polyhydroxyvalerate (PHV),29.51,101.11,52.37,194.48,87.71,73.38,79.04,73.63
Polyhydroxyvalerate (PHV),32.0,81.92,197.88,157.85,81.34,35.49,63.31,52.22
Polyhydroxyvalerate (PHV),33.98,27.91,212.18,249.64,66.34,69.37,58.09,27.16
Recycled PP,77.87,114.61,107.54,196.74,96.44,36.35,78.34,60.63
Recycled PP,54.51,23.66,142.15,170.16,78.71,43.96,69.17,37.26
Cork Composite,34.34,99.43,112.32,239.93,90.05,39.69,88.83,67.12
Cellulose Acetate,60.81,100.53,84.07,232.77,62.68,55.58,68.59,34.26
Recycled PET (rPET),70.18,121.05,206.14,231.74,68.84,55.37,99.03,34.09
Alginate,30.92,26.13,192.9,169.67,94.04,88.2,88.94,26.94
Thermoplastic Starch (TPS),43.39,83.43,129.05,245.37,54.88,47.35,56.84,51.17
Cork Composite,17.57,65.59,122.05,175.31,76.83,37.87,77.51,86.46
Coconut Coir Composite,22.82,55.32,57.34,188.14,75.38,73.04,79.97,85.36
Alginate,67.08,29.95,164.76,194.37,88.18,78.75,86.04,32.0
Cork Composite,22.84,79.82,232.06,228.77,65.89,52.05,77.0,77.54
Chitosan,53.27,70.99,183.93,172.94,62.91,72.99,76.34,86.74
Nano-cellulose Composite,69.55,31.45,133.97,239.07,96.49,84.77,71.05,27.28
Alginate,16.24,85.08,24.08,159.03,79.66,55.63,66.63,61.12
Cork Composite,57.0,98.33,233.62,248.88,57.47,67.72,97.54,63.68
Maleic Anhydride Grafted (MAG) Polymers,29.49,101.43,87.39,246.0,61.67,41.97,68.75,40.53
Polycaprolactone (PCL),92.03,116.01,85.49,188.56,99.94,33.61,57.1,43.52
Polyhydroxyvalerate (PHV),49.59,63.65,125.36,237.01,61.79,98.73,61.86,46.52
Cork Composite,78.13,121.04,115.85,234.03,81.5,52.38,93.46,43.42
Cork Composite,55.49,111.79,241.15,214.07,72.46,50.97,81.07,53.02
Coconut Coir Composite,10.62,51.72,53.78,223.95,94.57,98.18,89.87,76.63
Mycelium-based Material,62.83,37.23,176.94,239.76,88.37,81.52,91.24,71.6
Poly(3-hydroxybutyrate) (PHB),91.01,66.38,40.09,214.71,80.86,71.8,91.9,27.58
Poly(3-hydroxybutyrate) (PHB),60.04,62.85,80.07,216.64,53.01,79.55,79.42,20.68
Recycled PP,79.3,81.2,184.7,169.96,94.29,80.28,62.31,65.51
Cork Composite,85.06,82.01,203.95,197.34,73.62,83.91,60.99,76.16
Coconut Coir Composite,26.97,99.6,125.2,152.51,96.75,36.57,80.49,85.46
PHA (Polyhydroxyalkanoates),25.55,74.25,200.5,163.02,76.04,60.07,70.99,63.42
Cork Composite,60.87,31.48,234.75,224.21,85.48,52.07,79.76,85.14
Gelatin,43.17,111.04,234.91,210.64,55.79,36.8,77.03,63.03
Hemp Fiber Composite,81.13,53.12,95.48,196.4,87.89,60.06,81.78,54.1
Recycled LDPE,86.46,122.97,88.35,163.02,68.55,73.9,55.67,81.02
Recycled PET (rPET),38.07,32.85,185.71,230.93,69.19,44.14,55.7,28.19
Recycled PP,27.75,121.59,168.71,179.48,58.14,52.74,87.25,26.8
Recycled HDPE,75.88,30.02,107.18,229.76,59.48,75.46,63.05,79.73
PHA (Polyhydroxyalkanoates),31.11,44.81,68.74,236.83,61.32,71.39,84.07,34.19
Hemp Fiber Composite,79.61,25.33,160.33,191.17,68.09,91.08,79.23,94.26
PLA (Polylactic Acid),44.29,94.86,116.11,195.79,94.87,85.8,99.17,64.98
Blended Starch,65.88,110.19,46.05,186.32,69.99,97.66,92.46,64.75
Polyhydroxyvalerate (PHV),15.24,66.24,165.22,210.22,86.91,72.61,73.12,29.52
Starch-based Polymer,62.01,118.45,178.95,192.97,56.43,79.5,82.43,80.96
Bagasse Fiber Composite,46.77,82.74,100.59,201.27,80.58,90.51,59.57,84.31
Seaweed/Kelp-based Polymer,58.71,86.93,210.51,238.03,75.39,89.12,71.9,67.24
Recycled PP,21.65,109.68,32.31,162.56,98.95,80.87,87.81,67.64
Nano-cellulose Composite,72.02,51.75,131.54,150.07,92.69,66.02,82.72,56.46
Polycaprolactone (PCL),83.16,57.82,239.74,249.99,74.1,50.58,76.39,66.88
PHA (Polyhydroxyalkanoates),25.97,116.07,59.76,238.16,89.32,91.65,62.29,86.93
Paper-based Composite,15.25,115.54,55.5,165.95,61.67,84.81,90.98,92.3
Cork Composite,8.87,123.52,103.99,207.37,79.21,88.98,66.71,61.61
Jute Fiber Composite,63.61,115.64,78.0,181.81,56.04,41.57,91.78,42.26
Natural Fiber Composite,60.53,33.86,67.06,164.9,69.03,53.41,82.21,80.04
Gelatin,55.18,107.39,238.21,217.34,63.23,60.89,71.27,81.12
Recycled PET (rPET),27.31,63.68,96.04,248.56,86.65,89.01,56.06,84.21
Coconut Coir Composite,41.39,125.03,29.06,187.83,75.78,92.72,64.84,24.6
Coconut Coir Composite,59.41,70.28,226.45,249.42,88.18,51.37,94.92,25.85
Poly(3-hydroxybutyrate) (PHB),50.76,78.89,120.34,185.62,76.98,78.68,91.66,89.87
Polycaprolactone (PCL),94.23,76.35,187.95,222.4,56.61,37.29,80.53,93.24
Natural Fiber Composite,18.86,54.38,101.33,194.68,87.43,59.85,75.56,25.54
Recycled HDPE,68.32,28.33,234.76,172.06,92.08,65.09,83.84,91.47
Recycled HDPE,42.57,114.98,82.63,153.01,95.42,84.06,75.55,25.5
PHA (Polyhydroxyalkanoates),44.69,105.16,170.75,175.6,79.67,92.65,83.71,28.75
Alginate,70.31,35.14,208.72,232.46,88.3,54.94,68.28,88.09
Recycled PET (rPET),68.08,102.43,70.91,178.0,88.22,67.89,92.6,53.3
Alginate,94.54,86.49,203.36,236.97,59.9,76.03,86.35,81.16
Paper-based Composite,18.15,63.61,201.18,231.33,60.3,54.35,69.31,33.39
Starch-based Polymer,16.0,47.23,241.59,227.42,55.87,99.02,92.24,39.13
Recycled LDPE,70.91,111.19,231.86,210.54,67.7,91.55,76.52,43.11
Blended Starch,57.98,94.34,106.32,167.62,74.99,52.16,62.2,48.53
Polycaprolactone (PCL),31.05,78.25,153.78,194.14,99.9,66.54,57.76,70.11
Recycled LDPE,13.81,84.77,232.44,229.69,72.97,47.7,86.24,49.83
Recycled HDPE,14.36,30.03,16.03,174.0,87.0,66.99,93.82,87.07
Hemp Fiber Composite,85.94,70.45,162.43,223.35,85.44,78.47,91.18,65.58
Polyhydroxyvalerate (PHV),23.77,40.86,65.61,245.48,62.21,37.82,84.23,83.28
Bagasse Fiber Composite,35.41,42.41,188.61,247.04,55.28,91.17,60.67,23.19
Recycled LDPE,26.85,90.24,202.17,218.88,78.44,72.37,58.51,20.03
Coconut Coir Composite,38.21,116.63,182.55,204.99,85.76,99.29,70.0,49.77
Maleic Anhydride Grafted (MAG) Polymers,12.93,63.04,249.08,218.69,99.92,33.74,93.35,24.6
Polybutylene Adipate Terephthalate (PBAT),52.73,42.35,127.63,206.57,69.53,88.54,98.25,57.67
Jute Fiber Composite,12.77,88.91,146.92,247.11,95.08,85.85,65.25,68.11
Jute Fiber Composite,77.64,112.4,111.11,249.38,70.64,41.03,89.1,33.76
Bagasse Fiber Composite,27.47,99.42,243.89,151.72,85.25,54.8,80.48,92.79
Polyhydroxyvalerate (PHV),54.59,112.14,231.85,201.54,80.92,92.17,55.66,23.71
Jute Fiber Composite,84.69,77.06,246.86,231.33,55.02,67.25,79.07,64.77
Poly(3-hydroxybutyrate) (PHB),64.4,99.8,246.45,186.44,56.22,59.29,91.11,90.63
Starch-based Polymer,53.96,35.2,225.43,181.82,53.49,93.57,66.85,59.85
Hemp Fiber Composite,35.49,57.18,233.76,181.78,70.11,38.35,95.3,88.87
Polylactic Acid (PLA) Blends,36.26,61.54,43.17,193.33,87.93,64.17,65.02,23.53
Polycaprolactone (PCL),66.05,74.4,55.78,228.25,60.71,76.36,57.7,63.91
PHA (Polyhydroxyalkanoates),94.79,118.51,223.02,247.39,81.28,73.38,61.53,90.14
Polybutylene Fumarate (PBF),65.37,112.73,185.8,201.45,66.22,49.97,92.53,84.26
Cellulose Acetate,56.16,34.61,220.62,222.06,90.36,70.31,73.31,30.41
Recycled PET (rPET),71.46,38.65,195.96,236.56,90.42,80.18,90.7,94.73
PLA (Polylactic Acid),47.96,58.17,47.8,233.65,89.33,71.77,78.53,30.46
Polyhydroxyvalerate (PHV),12.1,51.11,230.39,243.68,77.43,78.54,76.21,37.59
Natural Fiber Composite,56.56,85.32,196.24,207.76,66.02,49.41,91.16,27.37
Polylactic Acid (PLA) Blends,91.56,115.73,149.14,223.19,90.95,88.63,73.6,69.27
PHA (Polyhydroxyalkanoates),22.3,122.02,140.1,200.84,61.34,62.58,90.93,51.38
Gelatin,67.87,89.42,149.84,183.24,66.26,99.13,58.81,83.4
Bagasse Fiber Composite,24.57,108.91,106.75,230.9,61.24,33.58,83.34,85.21
Poly(3-hydroxybutyrate) (PHB),54.22,75.87,203.76,160.98,84.52,57.86,86.38,34.18
Polycaprolactone (PCL),15.34,42.41,228.62,158.17,85.1,44.27,95.38,53.6
Polycaprolactone (PCL),46.65,75.81,74.44,173.67,83.49,69.78,64.47,66.92
Recycled PET (rPET),73.72,79.02,23.94,177.13,72.24,48.54,81.87,82.43
Polyhydroxyvalerate (PHV),37.55,98.81,62.69,203.58,57.26,82.15,74.04,26.99
Polylactic Acid (PLA) Blends,65.64,43.63,192.97,150.84,95.78,91.97,71.73,73.48
Paper-based Composite,77.2,59.3,219.07,211.22,76.62,46.34,59.09,55.86
Mycelium-based Material,88.86,58.85,96.91,150.33,71.83,42.93,60.35,56.26
Gelatin,27.55,121.72,50.81,150.56,80.47,91.52,92.53,65.63
Polylactic Acid (PLA) Blends,42.13,67.29,216.76,167.74,61.66,56.57,88.54,31.79
Mycelium-based Material,20.27,100.14,65.44,230.86,58.8,61.55,71.71,51.16
Cellulose Acetate,94.64,99.69,71.84,182.17,71.76,47.03,92.14,86.73
Coconut Coir Composite,88.85,48.45,36.76,216.29,63.29,60.92,57.9,84.17
Thermoplastic Starch (TPS),54.58,80.79,228.93,160.53,64.1,47.73,82.81,31.32
Gelatin,81.33,114.84,91.78,235.87,94.89,77.28,93.96,61.98
Polylactic Acid (PLA) Blends,52.9,70.59,55.38,231.49,77.71,65.92,92.62,92.78
Paper-based Composite,61.99,120.2,239.11,202.17,75.46,85.59,71.27,67.25
Recycled LDPE,14.67,43.05,93.85,199.42,85.25,53.27,88.33,39.33
Polybutylene Adipate Terephthalate (PBAT),73.64,28.24,190.66,220.02,97.7,66.38,73.78,25.1
Chitosan,18.09,114.54,69.14,156.15,57.83,49.65,92.68,59.53
PLA (Polylactic Acid),79.91,109.92,185.8,154.84,92.09,95.54,78.51,33.95
Blended Starch,76.01,125.22,69.56,151.52,80.24,67.49,89.23,92.31
Cellulose Acetate,69.53,92.15,164.87,204.18,59.44,43.8,57.8,70.87
Alginate,9.98,119.31,118.6,191.83,66.61,50.55,81.22,89.17
Bagasse Fiber Composite,33.62,107.73,202.7,245.24,75.41,37.64,79.4,77.08
Polylactic Acid (PLA) Blends,30.07,109.57,186.61,242.76,85.33,33.89,82.14,72.39
Cellulose Acetate,38.66,80.51,234.84,154.3,64.02,67.76,86.06,58.93
PHA (Polyhydroxyalkanoates),14.54,60.78,103.51,150.72,77.91,54.92,96.25,37.74
PHA (Polyhydroxyalkanoates),89.73,119.09,192.27,172.23,85.02,97.54,90.18,62.98
Polyhydroxyvalerate (PHV),55.81,66.04,242.68,168.33,73.82,43.65,64.26,78.6
Polybutylene Fumarate (PBF),33.83,77.3,94.03,206.8,93.49,85.99,92.03,42.55
Alginate,41.92,67.52,83.15,209.82,93.8,53.49,59.79,36.75
Recycled PP,46.37,80.05,195.73,225.86,74.86,47.2,82.7,27.61
Polybutylene Adipate Terephthalate (PBAT),59.95,70.09,119.7,215.23,98.71,97.94,94.63,54.11
Polybutylene Succinate (PBS),52.43,25.47,108.68,232.61,56.09,86.58,58.83,70.99
Bagasse Fiber Composite,88.17,113.55,143.22,181.3,52.66,74.88,93.12,21.76
Bagasse Fiber Composite,50.78,67.33,234.85,171.83,70.58,79.4,90.78,84.49
Thermoplastic Starch (TPS),94.62,82.6,34.7,157.05,81.05,99.41,77.27,59.08
Seaweed/Kelp-based Polymer,82.16,35.11,124.44,207.17,82.39,72.34,68.35,29.39
Mycelium-based Material,25.24,20.77,40.88,245.9,75.13,38.93,72.77,77.62
Starch-based Polymer,89.17,46.31,222.64,239.59,58.43,36.41,98.56,93.91
Cork Composite,17.08,94.81,47.12,198.8,60.6,77.33,63.44,77.81
Bagasse Fiber Composite,79.15,30.88,36.08,238.99,92.98,76.72,80.75,91.42
Blended Starch,40.48,116.38,241.48,248.08,93.73,82.88,58.01,94.91
Recycled PET (rPET),84.51,43.11,147.39,206.34,84.51,39.4,64.18,43.43
Hemp Fiber Composite,83.63,42.01,209.08,235.49,84.05,96.25,89.16,63.67
PHA (Polyhydroxyalkanoates),78.13,39.58,125.51,190.01,80.89,69.48,68.06,52.54
Recycled HDPE,76.72,21.89,117.38,197.32,62.14,76.17,99.35,63.07
Polylactic Acid (PLA) Blends,33.75,101.9,229.23,221.47,72.84,34.37,77.14,63.45
Recycled HDPE,13.94,112.8,247.62,226.11,85.55,97.35,77.86,57.03
Maleic Anhydride Grafted (MAG) Polymers,42.46,85.26,160.35,227.87,78.02,70.26,55.86,33.17
Thermoplastic Starch (TPS),22.14,40.28,230.77,224.77,53.38,70.31,98.01,29.36
Hemp Fiber Composite,68.3,50.53,217.74,173.56,97.79,96.16,62.18,59.85
Jute Fiber Composite,37.42,70.66,142.84,244.42,92.63,95.2,78.86,80.4
Polyhydroxyvalerate (PHV),93.15,121.18,236.16,203.71,64.88,46.98,72.32,21.71
Jute Fiber Composite,63.53,46.53,64.36,184.99,81.78,95.31,73.23,88.61
Jute Fiber Composite,79.59,97.66,222.94,160.63,96.35,82.09,83.66,37.8
Poly(3-hydroxybutyrate) (PHB),18.51,66.81,87.7,191.6,57.06,33.29,84.52,79.06
Polybutylene Succinate (PBS),83.09,51.86,22.17,208.83,76.39,48.31,61.27,72.12
Jute Fiber Composite,88.47,68.55,199.97,228.95,74.17,60.08,77.08,87.64
Seaweed/Kelp-based Polymer,49.9,27.93,233.55,182.46,71.98,71.63,90.4,52.35
Seaweed/Kelp-based Polymer,60.45,104.74,65.94,239.84,92.19,79.69,74.5,43.6
Starch-based Polymer,74.49,46.1,140.51,236.01,70.58,46.29,61.79,26.18
Gelatin,22.26,97.01,191.1,235.26,55.52,88.9,68.55,37.23
Starch-based Polymer,51.27,27.63,92.93,247.0,55.63,89.51,63.93,88.4
